city,seed,backbone,group,n_requests,n_cats_supported,macroCatMRR_sit,macroCatMRR_steck,delta,ci_lo,ci_hi,kappa_sit,kappa_steck
saopaulo,44,B_blind,ON-PRIOR,9297,8,0.288689,0.63542,-0.346731,-0.356801,-0.305499,0.25,0.75
saopaulo,44,B_blind,OFF-PRIOR,14524,10,0.169142,0.155345,0.013797,0.00878,0.018647,0.25,0.75
saopaulo,44,EASE,ON-PRIOR,9297,8,0.338808,0.605284,-0.266476,-0.278145,-0.254955,0.05,0.05
saopaulo,44,EASE,OFF-PRIOR,14524,10,0.163469,0.161794,0.001675,-0.00929,0.011397,0.05,0.05
saopaulo,44,AFM,ON-PRIOR,9297,8,0.362714,0.745478,-0.382764,-0.393955,-0.367079,0.5,1.0
saopaulo,44,AFM,OFF-PRIOR,14524,10,0.193895,0.191803,0.002091,-0.007683,0.010656,0.5,1.0
saopaulo,44,SASRec,ON-PRIOR,9297,8,0.452919,0.668946,-0.216027,-0.226559,-0.206499,0.25,0.5
saopaulo,44,SASRec,OFF-PRIOR,14524,10,0.236416,0.224705,0.01171,0.006828,0.016633,0.25,0.5
saopaulo,45,B_blind,ON-PRIOR,9297,8,0.287038,0.67078,-0.383742,-0.394274,-0.338892,0.25,0.75
saopaulo,45,B_blind,OFF-PRIOR,14524,10,0.168738,0.156432,0.012306,0.00684,0.017837,0.25,0.75
saopaulo,45,EASE,ON-PRIOR,9297,8,0.333274,0.631329,-0.298055,-0.309287,-0.2859,0.05,0.05
saopaulo,45,EASE,OFF-PRIOR,14524,10,0.161864,0.159425,0.002439,-0.007228,0.011171,0.05,0.05
saopaulo,45,AFM,ON-PRIOR,9297,8,0.379317,0.776207,-0.396889,-0.407799,-0.380248,0.5,1.0
saopaulo,45,AFM,OFF-PRIOR,14524,10,0.196206,0.194285,0.001921,-0.008253,0.011346,0.5,1.0
saopaulo,45,SASRec,ON-PRIOR,9297,8,0.452326,0.761583,-0.309257,-0.367466,-0.298536,0.25,0.75
