city,seed,backbone,phase,K,eps,kappa,gating,boundary_frac,macroCatMRR,CatMRR,HR20,NDCG20,Coverage,Gini,LT20
ml1m,42,SASRec,kappa,5,0.03,1.0,double,0.2423,0.3112840297000222,0.451957885348264,0.28635411201075456,0.12031244542745266,0.8552147239263803,0.5414651568343409,0.59622115
ml1m,42,SASRec,kappa,5,0.03,1.5,double,0.2423,0.2851271124938873,0.4233723790240364,0.2648689801335405,0.11159533849733606,0.8607361963190184,0.5369818950900616,0.60492235
ml1m,42,SASRec,kappa,5,0.03,0.0,single,0.2423,0.34299384177216885,0.5250473002193938,0.3234935544604368,0.13629475639791075,0.838036809815951,0.5699278881217502,0.56930315
ml1m,42,SASRec,kappa,5,0.03,0.05,single,0.2423,0.34457587883220364,0.5241047391971545,0.32336238027140196,0.13618297355055653,0.8383435582822086,0.5691465718581137,0.5714719
ml1m,42,SASRec,kappa,5,0.03,0.1,single,0.2423,0.3450502709526922,0.5218764886784815,0.322853115772796,0.135786297127558,0.8401840490797546,0.5681159451071127,0.57365197
ml1m,42,SASRec,kappa,5,0.03,0.25,single,0.2423,0.34325001965909974,0.5098914408575129,0.3183108879720985,0.13364757636013036,0.8429447852760736,0.563624947352017,0.57936865
ml1m,42,SASRec,kappa,5,0.03,0.5,single,0.2423,0.33662342633632725,0.4833890118931679,0.3083382202148856,0.12927123901111884,0.8478527607361963,0.5541844815616712,0.5872406
ml1m,42,SASRec,kappa,5,0.03,1.0,single,0.2423,0.3110317264245003,0.4381928997769752,0.28137978099911864,0.11820442341284633,0.8558282208588958,0.5417801358379497,0.6000853
ml1m,42,SASRec,kappa,5,0.03,1.5,single,0.2423,0.28244318562105714,0.4055417420582955,0.2567721890142903,0.10827672937681906,0.8607361963190184,0.5390297764935725,0.609891
ml1m,42,B_blind,keps,3,0.01,0.25,double,0.0633,0.1329309895711415,0.3778496805436769,0.06251093118241957,0.02373994442431941,0.6858895705521473,0.7392087310348125,0.24517691
ml1m,42,EASE,keps,3,0.01,0.25,double,0.0633,0.12432372688369339,0.3697951717113293,0.06972465423169648,0.02612906492897776,0.4174846625766871,0.9090340347236523,0.017916337
ml1m,42,AFM,keps,3,0.01,0.25,double,0.0633,0.2157424225430224,0.4368787674938981,0.08977630085357532,0.03483263419371118,0.3726993865030675,0.9235272999791648,0.051871415
ml1m,42,SASRec,keps,3,0.01,0.25,double,0.0633,0.33684765805827843,0.5104732282659376,0.3173335116616426,0.13345421438265212,0.8438650306748466,0.5612217686730472,0.57782745
