dataset,backbone,metric,method,mean,sd_seed,mean_s42,se_boot,ci_lo,ci_hi,box,delta_l1,ci_l1_lo,ci_l1_hi,p_l1,p_l1_seed,seeds_l1,holm_l1,sig_l1,delta_l2,ci_l2_lo,ci_l2_hi,p_l2,p_l2_seed,seeds_l2,holm_l2,sig_l2,tost_equiv
ml1m,SASRec,Coverage,SIT,0.83834,0.0,0.83834,0.00117,0.83037,0.83497,,0.00031,-0.00031,0.00153,0.284,,5,,,-0.00092,-0.00184,0.00061,0.422667,,0,,,
ml1m,SASRec,Coverage,Steck-b,0.83926,0.0,0.83926,0.00119,0.83067,0.83544,,,,,,,,,,,,,,,,,,
ml1m,SASRec,Gini,BASE,0.56993,0.0,0.56993,0.0006,0.56905,0.57134,,,,,,,,,,,,,,,,,,
ml1m,SASRec,Gini,SIT,0.56918,7e-07,0.56918,0.0006,0.56831,0.57064,,-0.00075,-0.00085,-0.00063,0.0,0.0,0,,,0.00083,0.0007,0.00097,0.0,0.0,5,,,
ml1m,SASRec,Gini,Steck-b,0.56835,0.0,0.56835,0.00058,0.56752,0.56977,,,,,,,,,,,,,,,,,,
ml1m,SASRec,LT20,BASE,0.5693,0.0,0.5692999958992004,0.00092,0.56745,0.57117,,,,,,,,,,,,,,,,,,
ml1m,SASRec,LT20,SIT,0.57128,1.6e-06,0.5712900161743164,0.00091,0.56945,0.57315,,0.00198,0.00184,0.00214,0.0,0.0,5,,,-0.00047,-0.00064,-0.0003,0.0,0.0,0,,,
ml1m,SASRec,LT20,Steck-b,0.57176,6e-07,0.5717599987983704,0.00091,0.56993,0.5735,,,,,,,,,,,,,,,,,,
ml1m,SASRec,JS,BASE,0.35719,0.0,0.35719,0.00062,0.35599,0.35845,,,,,,,,,,,,,,,,,,
ml1m,SASRec,JS,SIT,0.36338,1.3e-06,0.36338,0.00063,0.36217,0.36469,,0.00619,0.00602,0.00637,0.0,0.0,5,,,0.01547,0.01525,0.0157,0.0,0.0,5,,,
ml1m,SASRec,JS,Steck-b,0.3479,2e-07,0.3479,0.0006,0.34667,0.34904,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,CatMRR,BASE,0.28032,0.0,0.28032,0.0026,0.27499,0.28532,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,CatMRR,SIT,0.334,0.0067665,0.34162,0.00299,0.33541,0.34698,,0.05368,0.05586,0.06637,0.0,5.9e-05,5,,,-0.02073,-0.01994,-0.00872,0.0,0.001448,0,,,
nyc_tist,B_blind,CatMRR,Steck-b,0.35473,0.000963,0.35562,0.00316,0.34936,0.36173,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,CatNDCG,BASE,0.37804,0.0,0.37804,0.00252,0.37331,0.38331,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,CatNDCG,SIT,0.41213,0.0064365,0.42,0.00292,0.41436,0.42587,,0.0341,0.03717,0.04669,0.0,0.000291,5,,,-0.00675,-0.00498,0.00607,0.889333,0.096046,1,,,
nyc_tist,B_blind,CatNDCG,Steck-b,0.41888,0.0017221,0.41954,0.00305,0.41372,0.42569,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,macroCatMRR,BASE,0.22642,0.0,0.22642,0.00191,0.22264,0.23011,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,macroCatMRR,SIT,0.27151,0.0027332,0.27454,0.00235,0.26971,0.2792,ridondante,0.0451,0.0439,0.0523,0.0,3e-06,5,0.0,***,-0.06365,-0.07511,-0.05536,0.0,3e-06,0,0.0,***,
nyc_tist,B_blind,macroCatMRR,Steck-b,0.33517,0.0056859,0.3398,0.00501,0.33004,0.3495,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,MRR,BASE,0.02741,0.0,0.02741,0.00095,0.02564,0.02918,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,MRR,SIT,0.02141,0.0005824,0.02098,0.00077,0.0195,0.02252,,-0.006,-0.00759,-0.00529,0.0,2.1e-05,0,,,0.00232,0.00075,0.00292,0.004,0.000417,5,,,
nyc_tist,B_blind,MRR,Steck-b,0.0191,0.0005283,0.01915,0.00074,0.01771,0.02061,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,HR5,BASE,0.03582,0.0,0.03582,0.00136,0.03322,0.03858,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,HR5,SIT,0.02913,0.0006727,0.02921,0.0012,0.027,0.03163,,-0.00669,-0.00876,-0.00452,0.0,2.4e-05,0,,,0.00427,0.00198,0.00638,0.0,0.000205,5,,,
nyc_tist,B_blind,HR5,Steck-b,0.02486,0.0006826,0.02503,0.00115,0.02282,0.02729,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,HR10,BASE,0.05022,0.0,0.05022,0.00162,0.04706,0.05341,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,HR10,SIT,0.04524,0.000532,0.04564,0.00157,0.04265,0.04881,,-0.00498,-0.00658,-0.0026,0.0,3.1e-05,0,,,0.00724,0.00531,0.01039,0.0,2.6e-05,5,,,
nyc_tist,B_blind,HR10,Steck-b,0.038,0.0007219,0.03785,0.00138,0.03514,0.0405,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,HR20,BASE,0.07011,0.0,0.07011,0.00189,0.06638,0.07395,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,HR20,SIT,0.06576,0.0008029,0.06502,0.00185,0.06152,0.06875,,-0.00435,-0.00746,-0.00279,0.0,0.000266,0,,,0.00932,0.00548,0.0113,0.0,1.1e-05,5,,,0
nyc_tist,B_blind,HR20,Steck-b,0.05643,0.0005374,0.0566,0.00179,0.0533,0.06022,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,NDCG5,BASE,0.02486,0.0,0.02486,0.001,0.02289,0.02686,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,NDCG5,SIT,0.01838,0.0006102,0.01811,0.00085,0.01649,0.01976,,-0.00648,-0.00808,-0.00551,0.0,1.9e-05,0,,,0.00231,0.00063,0.00326,0.002667,0.00056,5,,,
nyc_tist,B_blind,NDCG5,Steck-b,0.01608,0.0005563,0.01617,0.0008,0.01464,0.01778,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,NDCG10,BASE,0.0295,0.0,0.0295,0.00106,0.02738,0.03157,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,NDCG10,SIT,0.02361,0.0005154,0.02342,0.00089,0.02163,0.02514,,-0.00589,-0.0073,-0.00487,0.0,1.4e-05,0,,,0.00331,0.00182,0.0044,0.0,6.4e-05,5,,,
nyc_tist,B_blind,NDCG10,Steck-b,0.02029,0.0005671,0.02029,0.00084,0.01872,0.02198,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,NDCG20,BASE,0.03452,0.0,0.03452,0.00107,0.03245,0.03662,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,NDCG20,SIT,0.02877,0.0006169,0.02828,0.00092,0.02658,0.03017,,-0.00575,-0.00731,-0.00516,0.0,3.1e-05,0,,,0.00384,0.00203,0.00454,0.0,6.3e-05,5,,,0
nyc_tist,B_blind,NDCG20,Steck-b,0.02492,0.0004889,0.02501,0.0009,0.02328,0.02679,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,MRR_u,BASE,0.03718,0.0,0.03718,0.00159,0.03438,0.04039,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,MRR_u,SIT,0.02909,0.0007782,0.02849,0.00124,0.0261,0.03092,,-0.00809,-0.01049,-0.00704,0.0,2e-05,0,,,0.00424,0.00151,0.00528,0.0,0.000349,5,,,
nyc_tist,B_blind,MRR_u,Steck-b,0.02485,0.0006836,0.02508,0.00125,0.02265,0.02744,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,HR5_u,BASE,0.05143,0.0,0.05143,0.00233,0.0467,0.05591,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,HR5_u,SIT,0.04038,0.0005086,0.04036,0.00203,0.03649,0.04434,,-0.01105,-0.01445,-0.00786,0.0,1e-06,0,,,0.00737,0.00344,0.01083,0.0,5.3e-05,5,,,
nyc_tist,B_blind,HR5_u,Steck-b,0.03301,0.0008426,0.03313,0.00192,0.02943,0.03694,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,HR10_u,BASE,0.06839,0.0,0.06839,0.00269,0.06331,0.07363,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,HR10_u,SIT,0.06235,0.0006017,0.06263,0.0025,0.05795,0.06756,,-0.00604,-0.0088,-0.00263,0.0,2.3e-05,0,,,0.01225,0.00857,0.01665,0.0,4e-06,5,,,
nyc_tist,B_blind,HR10_u,Steck-b,0.0501,0.0006673,0.04997,0.00228,0.04545,0.05448,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,HR20_u,BASE,0.09373,0.0,0.09373,0.00311,0.08806,0.09987,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,HR20_u,SIT,0.08919,0.0009495,0.08859,0.00296,0.08272,0.09441,,-0.00454,-0.00869,-0.00159,0.005333,0.000433,0,,,0.0152,0.00986,0.01884,0.0,3e-06,5,,,
nyc_tist,B_blind,HR20_u,Steck-b,0.07399,0.0007319,0.07424,0.00285,0.06895,0.07984,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,NDCG5_u,BASE,0.03517,0.0,0.03517,0.00172,0.03202,0.0387,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,NDCG5_u,SIT,0.02565,0.0007148,0.02521,0.00141,0.02249,0.02802,,-0.00951,-0.01213,-0.00782,0.0,8e-06,0,,,0.00427,0.00122,0.00583,0.001333,0.000291,5,,,
nyc_tist,B_blind,NDCG5_u,Steck-b,0.02138,0.0007143,0.02158,0.00136,0.0189,0.02421,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,NDCG10_u,BASE,0.04065,0.0,0.04065,0.00182,0.03721,0.04412,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,NDCG10_u,SIT,0.03278,0.0006385,0.03242,0.00152,0.02948,0.03539,,-0.00787,-0.01015,-0.00635,0.0,1e-05,0,,,0.00592,0.00317,0.00774,0.0,4.6e-05,5,,,
nyc_tist,B_blind,NDCG10_u,Steck-b,0.02686,0.0006387,0.02699,0.00144,0.02437,0.02997,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,NDCG20_u,BASE,0.04704,0.0,0.04704,0.00179,0.04363,0.05048,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,NDCG20_u,SIT,0.03955,0.0007916,0.03896,0.00151,0.03608,0.04191,,-0.00749,-0.00982,-0.00633,0.0,3e-05,0,,,0.00667,0.00373,0.00789,0.0,3.6e-05,5,,,
nyc_tist,B_blind,NDCG20_u,Steck-b,0.03288,0.0006155,0.03312,0.00148,0.03025,0.03599,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,Coverage,BASE,0.18661,0.0,0.18661,0.00011,0.1861,0.18661,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,Coverage,SIT,0.28573,0.01114,0.28894,0.00041,0.2873,0.28894,,0.09912,0.10083,0.10233,0.0,3.8e-05,5,,,-0.05473,-0.05317,-0.05041,0.0,5.2e-05,0,,,
nyc_tist,B_blind,Coverage,Steck-b,0.34046,0.0051451,0.34136,0.00057,0.33885,0.34111,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,Gini,BASE,0.97314,0.0,0.97314,0.00021,0.97281,0.97362,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,Gini,SIT,0.95062,0.0026532,0.94912,0.00034,0.9486,0.94993,,-0.02252,-0.02434,-0.02355,0.0,4.5e-05,0,,,0.02208,0.02014,0.0212,0.0,2.5e-05,5,,,
nyc_tist,B_blind,Gini,Steck-b,0.92854,0.002587,0.9284,0.00042,0.9278,0.92938,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,LT20,BASE,0.01588,0.0,0.015879999846220016,0.00042,0.01503,0.01672,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,LT20,SIT,0.03371,0.0017994,0.03505000099539757,0.00065,0.03378,0.03631,,0.01783,0.0183,0.02006,0.0,2.5e-05,5,,,-0.02996,-0.03008,-0.02742,0.0,1.8e-05,0,,,
nyc_tist,B_blind,LT20,Steck-b,0.06367,0.003724,0.06378000229597092,0.00088,0.06209,0.06553,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,JS,BASE,0.33882,0.0,0.33882,0.00125,0.33646,0.34124,,,,,,,,,,,,,,,,,,
nyc_tist,B_blind,JS,SIT,0.34501,0.0060586,0.33576,0.00126,0.33327,0.3382,,0.00619,-0.00555,-0.0006,0.012,0.084518,4,,,0.12936,0.1182,0.12327,0.0,1e-06,5,,,
nyc_tist,B_blind,JS,Steck-b,0.21565,0.0009029,0.21495,0.00084,0.21334,0.21671,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,CatMRR,BASE,0.38804,0.0020665,0.39011,0.00308,0.384,0.39616,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,CatMRR,SIT,0.40061,0.0048053,0.407,0.00321,0.40096,0.41336,,0.01256,0.01318,0.02078,0.0,0.000602,5,,,0.0009,0.00126,0.00858,0.013333,0.524915,3,,,
nyc_tist,B_full,CatMRR,Steck-b,0.39971,0.00221,0.4021,0.00324,0.3961,0.40899,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,CatNDCG,BASE,0.46187,0.0026979,0.46466,0.003,0.45875,0.47063,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,CatNDCG,SIT,0.46422,0.003189,0.46885,0.00304,0.46316,0.47485,,0.00236,0.0008,0.00766,0.022667,0.183146,3,,,0.00692,0.00094,0.00806,0.010667,0.000991,5,,,
nyc_tist,B_full,CatNDCG,Steck-b,0.45731,0.0042618,0.46427,0.00303,0.45833,0.47021,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,macroCatMRR,BASE,0.35127,0.0022189,0.35293,0.00412,0.3449,0.36133,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,macroCatMRR,SIT,0.35874,0.0024876,0.36176,0.00432,0.35335,0.37065,ridondante,0.00747,0.00479,0.01281,0.0,0.000144,5,0.0,***,-0.02003,-0.01812,-0.00738,0.0,0.001791,0,0.0,***,
nyc_tist,B_full,macroCatMRR,Steck-b,0.37878,0.0037378,0.3744,0.00464,0.36542,0.38348,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,MRR,BASE,0.02388,0.0002641,0.02387,0.00083,0.02224,0.02554,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,MRR,SIT,0.022,0.0008952,0.02081,0.00075,0.01932,0.02231,,-0.00188,-0.0038,-0.00235,0.0,0.009988,0,,,0.00076,-0.00166,-0.00024,0.009333,0.196074,4,,,
nyc_tist,B_full,MRR,Steck-b,0.02125,0.0006345,0.02176,0.00079,0.02026,0.02332,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,HR5,BASE,0.03278,0.0008682,0.03395,0.00135,0.03135,0.03664,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,HR5,SIT,0.03009,0.0011139,0.02921,0.00127,0.02678,0.03175,,-0.00269,-0.00633,-0.00311,0.0,0.029956,0,,,0.00116,-0.00232,0.00062,0.269333,0.140094,4,,,
nyc_tist,B_full,HR5,Steck-b,0.02892,0.0010703,0.03011,0.00131,0.02762,0.03268,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,HR10,BASE,0.04777,0.0011471,0.04836,0.00163,0.04531,0.05163,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,HR10,SIT,0.04358,0.0017105,0.04226,0.00154,0.03937,0.04531,,-0.00419,-0.00802,-0.00429,0.0,0.014483,0,,,0.00175,-0.00198,0.00141,0.864,0.076536,4,,,
nyc_tist,B_full,HR10,Steck-b,0.04183,0.0009708,0.04248,0.00151,0.03954,0.04542,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,HR20,BASE,0.06933,0.0015452,0.06965,0.00197,0.06598,0.07338,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,HR20,SIT,0.06377,0.0024876,0.0618,0.00188,0.05819,0.06553,,-0.00556,-0.00989,-0.00559,0.0,0.011672,0,,,0.0032,-0.00299,0.00102,0.362667,0.075415,4,,,0
nyc_tist,B_full,HR20,Steck-b,0.06057,0.0015338,0.0627,0.0018,0.05903,0.06604,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,NDCG5,BASE,0.0214,0.0003279,0.02173,0.0009,0.01995,0.02352,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,NDCG5,SIT,0.01955,0.0008571,0.01849,0.00081,0.01689,0.02008,,-0.00184,-0.0041,-0.00238,0.0,0.018959,0,,,0.00066,-0.00185,-0.00014,0.030667,0.221522,4,,,
nyc_tist,B_full,NDCG5,Steck-b,0.01889,0.0006194,0.01949,0.00089,0.01783,0.02128,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,NDCG10,BASE,0.02623,0.0004275,0.02636,0.00097,0.02462,0.02827,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,NDCG10,SIT,0.02388,0.0009946,0.02266,0.00089,0.02089,0.02443,,-0.00234,-0.00459,-0.00286,0.0,0.011625,0,,,0.00084,-0.0016,7e-05,0.076,0.164883,4,,,
nyc_tist,B_full,NDCG10,Steck-b,0.02304,0.0006062,0.02345,0.00094,0.02157,0.02515,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,NDCG20,BASE,0.03165,0.0004882,0.03171,0.00102,0.0298,0.03386,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,NDCG20,SIT,0.02896,0.0011773,0.02759,0.00094,0.02585,0.0295,,-0.00269,-0.00491,-0.00333,0.0,0.00995,0,,,0.0012,-0.00179,-0.00018,0.021333,0.135238,4,,,1
nyc_tist,B_full,NDCG20,Steck-b,0.02776,0.000722,0.02853,0.00095,0.02673,0.03045,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,MRR_u,BASE,0.03119,0.000241,0.03129,0.00136,0.02876,0.03406,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,MRR_u,SIT,0.02892,0.0012507,0.02725,0.00123,0.02496,0.02977,,-0.00227,-0.00516,-0.00298,0.0,0.017084,0,,,0.00088,-0.00265,-0.00038,0.005333,0.272016,4,,,
nyc_tist,B_full,MRR_u,Steck-b,0.02805,0.000888,0.02875,0.0013,0.0263,0.03128,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,HR5_u,BASE,0.04429,0.0014177,0.04657,0.0022,0.04253,0.05088,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,HR5_u,SIT,0.0406,0.0016353,0.0395,0.002,0.03571,0.04348,,-0.00369,-0.0098,-0.00456,0.0,0.035691,0,,,0.00116,-0.00401,0.00115,0.292,0.23231,3,,,
nyc_tist,B_full,HR5_u,Steck-b,0.03944,0.0015438,0.0409,0.00209,0.03687,0.04476,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,HR10_u,BASE,0.06449,0.0016857,0.06517,0.00263,0.06002,0.07009,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,HR10_u,SIT,0.05883,0.0025699,0.05692,0.00243,0.0521,0.06165,,-0.00565,-0.01106,-0.00542,0.0,0.023358,0,,,0.00246,-0.00322,0.00209,0.712,0.132648,4,,,
nyc_tist,B_full,HR10_u,Steck-b,0.05638,0.0016344,0.05749,0.00254,0.05264,0.06237,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,HR20_u,BASE,0.09211,0.0021397,0.09248,0.00306,0.08667,0.09875,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,HR20_u,SIT,0.08451,0.0032915,0.08141,0.00285,0.07608,0.08737,,-0.0076,-0.01402,-0.00799,0.0,0.00994,0,,,0.00461,-0.00435,0.00169,0.394667,0.072279,4,,,
nyc_tist,B_full,HR20_u,Steck-b,0.0799,0.0021004,0.08272,0.00298,0.07698,0.08869,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,NDCG5_u,BASE,0.02859,0.0005205,0.02942,0.00152,0.02648,0.03253,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,NDCG5_u,SIT,0.02628,0.001213,0.02485,0.0014,0.02218,0.02762,,-0.00232,-0.00609,-0.00319,0.0,0.031257,0,,,0.00066,-0.00301,-0.00018,0.022667,0.361543,4,,,
nyc_tist,B_full,NDCG5_u,Steck-b,0.02562,0.0009351,0.02641,0.00144,0.0236,0.02925,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,NDCG10_u,BASE,0.03511,0.0005648,0.03538,0.00156,0.03237,0.03838,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,NDCG10_u,SIT,0.03214,0.001449,0.03044,0.0014,0.02777,0.03329,,-0.00298,-0.00617,-0.00361,0.0,0.018995,0,,,0.00107,-0.00254,-6e-05,0.042667,0.237912,4,,,
nyc_tist,B_full,NDCG10_u,Steck-b,0.03107,0.0009752,0.0317,0.00149,0.02885,0.03459,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,NDCG20_u,BASE,0.04207,0.0006614,0.04225,0.0016,0.03908,0.04536,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,NDCG20_u,SIT,0.0386,0.0016189,0.03662,0.00146,0.03365,0.03949,,-0.00347,-0.00691,-0.00435,0.0,0.012439,0,,,0.0016,-0.00268,-0.00017,0.021333,0.156462,4,,,
nyc_tist,B_full,NDCG20_u,Steck-b,0.037,0.0010365,0.03807,0.00163,0.03495,0.04119,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,Coverage,BASE,0.45252,0.0067961,0.45247,0.00248,0.42262,0.43254,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,Coverage,SIT,0.49651,0.022525,0.51768,0.0025,0.48282,0.49285,,0.04399,0.05493,0.06571,0.0,0.008769,5,,,-0.03296,-0.00326,0.00627,0.581333,0.042629,1,,,
nyc_tist,B_full,Coverage,Steck-b,0.52947,0.0181845,0.51191,0.0023,0.48207,0.49085,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,Gini,BASE,0.93555,0.0014177,0.93512,0.00035,0.93471,0.93611,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,Gini,SIT,0.92173,0.007307,0.9152,0.00044,0.91468,0.91645,,-0.01382,-0.02037,-0.0193,0.0,0.011735,0,,,0.01234,-0.00046,0.00062,0.696,0.025138,5,,,
nyc_tist,B_full,Gini,Steck-b,0.90939,0.0066075,0.91508,0.00044,0.91461,0.91631,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,LT20,BASE,0.12881,0.0039621,0.12894999980926514,0.00109,0.12688,0.13108,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,LT20,SIT,0.1531,0.0134013,0.16524000465869904,0.00128,0.16266,0.16779,,0.02429,0.03489,0.03768,0.0,0.010434,5,,,-0.01796,0.00306,0.00565,0.0,0.044801,1,,,
nyc_tist,B_full,LT20,Steck-b,0.17105,0.0121816,0.1608700007200241,0.00123,0.15845,0.16341,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,JS,BASE,0.31284,0.0034956,0.31299,0.00119,0.31066,0.31531,,,,,,,,,,,,,,,,,,
nyc_tist,B_full,JS,SIT,0.33117,0.0097927,0.33216,0.00126,0.32971,0.33454,,0.01833,0.01729,0.0212,0.0,0.024683,5,,,0.05414,0.0525,0.05681,0.0,0.000566,5,,,
nyc_tist,B_full,JS,Steck-b,0.27702,0.0035349,0.27746,0.00106,0.27534,0.27947,,,,,,,,,,,,,,,,,,
nyc_tist,EASE,CatMRR,BASE,0.27041,0.0,0.27041,0.00266,0.26507,0.27554,,,,,,,,,,,,,,,,,,
nyc_tist,EASE,CatMRR,SIT,0.31021,0.0072013,0.31935,0.00329,0.31292,0.32606,,0.0398,0.04207,0.05643,0.0,0.000246,5,,,-0.00412,-0.00242,0.01169,0.22,0.271995,2,,,
nyc_tist,EASE,CatMRR,Steck-b,0.31433,0.0004265,0.31481,0.00328,0.30858,0.32138,,,,,,,,,,,,,,,,,,
nyc_tist,EASE,CatNDCG,BASE,0.36138,0.0,0.36138,0.00255,0.35647,0.36624,,,,,,,,,,,,,,,,,,
nyc_tist,EASE,CatNDCG,SIT,0.33987,0.0093104,0.34437,0.00327,0.33751,0.35052,,-0.02151,-0.02439,-0.01027,0.0,0.006665,0,,,-0.00968,-0.01256,0.00176,0.128,0.093969,1,,,
nyc_tist,EASE,CatNDCG,Steck-b,0.34954,0.0020763,0.34984,0.00319,0.34389,0.35632,,,,,,,,,,,,,,,,,,
nyc_tist,EASE,macroCatMRR,BASE,0.21306,0.0,0.21306,0.00159,0.21019,0.21628,,,,,,,,,,,,,,,,,,
nyc_tist,EASE,macroCatMRR,SIT,0.24749,0.004763,0.24684,0.00298,0.24102,0.25267,ridondante,0.03442,0.0276,0.03999,0.0,8.6e-05,5,0.0,***,-0.08194,-0.09631,-0.07401,0.0,4e-06,0,0.0,***,
nyc_tist,EASE,macroCatMRR,Steck-b,0.32943,0.0044788,0.33217,0.00546,0.32081,0.34327,,,,,,,,,,,,,,,,,,
nyc_tist,EASE,MRR,BASE,0.0262,0.0,0.0262,0.0009,0.02451,0.02801,,,,,,,,,,,,,,,,,,
nyc_tist,EASE,MRR,SIT,0.01573,0.0018998,0.01472,0.00067,0.01343,0.01606,,-0.01047,-0.0131,-0.00985,0.0,0.000249,0,,,-0.00061,-0.00327,-0.00071,0.0,0.542797,1,,,
nyc_tist,EASE,MRR,Steck-b,0.01634,0.000447,0.0167,0.00076,0.0152,0.01815,,,,,,,,,,,,,,,,,,
nyc_tist,EASE,HR5,BASE,0.03494,0.0,0.03494,0.00141,0.03237,0.03777,,,,,,,,,,,,,,,,,,
nyc_tist,EASE,HR5,SIT,0.01985,0.0025008,0.0183,0.00098,0.01638,0.02025,,-0.01509,-0.01928,-0.01407,0.0,0.000175,0,,,-0.00151,-0.0052,-0.00096,0.005333,0.264564,1,,,
nyc_tist,EASE,HR5,Steck-b,0.02136,0.0003756,0.02147,0.00109,0.01935,0.02361,,,,,,,,,,,,,,,,,,
nyc_tist,EASE,HR10,BASE,0.05028,0.0,0.05028,0.00168,0.04689,0.05361,,,,,,,,,,,,,,,,,,
nyc_tist,EASE,HR10,SIT,0.02931,0.003879,0.0276,0.00122,0.02529,0.02994,,-0.02096,-0.02592,-0.01966,0.0,0.000269,0,,,-0.00055,-0.00507,-1e-05,0.050667,0.784699,1,,,
nyc_tist,EASE,HR10,Steck-b,0.02986,0.0007219,0.03011,0.00129,0.02762,0.0326,,,,,,,,,,,,,,,,,,
nyc_tist,EASE,HR20,BASE,0.07073,0.0,0.07073,0.00198,0.06689,0.07461,,,,,,,,,,,,,,,,,,
nyc_tist,EASE,HR20,SIT,0.04218,0.0046183,0.04014,0.00148,0.03726,0.04302,,-0.02854,-0.03443,-0.02686,0.0,0.000159,0,,,-0.00113,-0.00667,-0.00068,0.02,0.6446,1,,,0
nyc_tist,EASE,HR20,Steck-b,0.04331,0.0007541,0.04381,0.00153,0.04101,0.04707,,,,,,,,,,,,,,,,,,
nyc_tist,EASE,NDCG5,BASE,0.02368,0.0,0.02368,0.001,0.02166,0.02567,,,,,,,,,,,,,,,,,,
nyc_tist,EASE,NDCG5,SIT,0.01375,0.0018229,0.01268,0.00074,0.01131,0.0142,,-0.00993,-0.01281,-0.00923,0.0,0.000261,0,,,-0.00086,-0.00368,-0.00082,0.001333,0.37417,1,,,
nyc_tist,EASE,NDCG5,Steck-b,0.01462,0.0003775,0.01491,0.00078,0.01334,0.01649,,,,,,,,,,,,,,,,,,
nyc_tist,EASE,NDCG10,BASE,0.02859,0.0,0.02859,0.001,0.0267,0.03066,,,,,,,,,,,,,,,,,,
