gamma,depth,n,city,K,eps,ari_mean,ari_min,bfrac,n_iters,secs
0.4,2,3,tokyo_tist,4,0.05,0.8960183748241738,0.8440275622362609,0.17804580243604637,10,7.6
0.4,2,5,istanbul,8,0.01,0.6948563968625553,0.5995180192246381,0.18009879197789883,49,63.4
0.4,2,5,bangkok,4,0.03,0.6948659964751797,0.5426177848725429,0.23480592335932018,15,6.2
0.4,2,5,nyc_tist,6,0.02,0.9917143972349033,0.9879630428128592,0.1442083441306038,80,9.0
0.4,2,5,saopaulo,8,0.02,0.7050305482491157,0.5575631479405079,0.17860235003092148,27,6.6
0.4,2,5,tokyo_tist,4,0.05,0.6236145837072476,0.5427292922010848,0.23003067393311294,31,13.8
0.4,2,7,istanbul,8,0.01,0.6248269248074746,0.49165539071090325,0.19465817280305522,58,72.8
0.4,2,7,bangkok,4,0.03,0.7494740973096836,0.6242689955752581,0.243451718021697,13,5.8
0.4,2,7,nyc_tist,6,0.02,0.8963058625332162,0.8452682519566919,0.17159022199188045,58,7.0
0.4,2,7,saopaulo,8,0.02,0.985995943101277,0.9793257214936514,0.17530921459492887,26,6.4
0.4,2,7,tokyo_tist,4,0.05,0.7742807596084708,0.6614211394127061,0.14152297566931712,37,15.5
0.4,2,10,istanbul,8,0.01,0.8599440622071676,0.7901334528742964,0.15908343295437224,34,48.3
0.4,2,10,bangkok,4,0.03,0.5008550269539002,0.4400468349740402,0.47003258672606524,24,8.1
0.4,2,10,nyc_tist,6,0.02,0.8190541768735465,0.7285812653103199,0.1672497192709683,60,7.2
0.4,2,10,saopaulo,8,0.02,0.7049676918163721,0.6431895577511345,0.20061842918985776,22,5.7
0.4,2,10,tokyo_tist,4,0.05,0.6709857665489704,0.549269610386054,0.20460406801870215,56,21.5
0.4,3,3,istanbul,8,0.01,0.6293486232979988,0.4956103706622844,0.2144834281404697,45,59.5
0.4,3,3,bangkok,4,0.03,0.5724526782289907,0.35943690972014497,0.2968197005321124,59,14.2
0.4,3,3,nyc_tist,6,0.02,0.997076258554909,0.9956143878323636,0.1519607843137255,14,3.0
0.4,3,3,saopaulo,8,0.02,0.6815762826651014,0.5520604113033778,0.2445578231292517,59,11.8
0.4,3,3,tokyo_tist,4,0.05,0.7856884120352827,0.678532618052924,0.10898478215551387,32,14.0
0.4,3,5,istanbul,8,0.01,0.6911975645589227,0.6038249482860558,0.20855430483235585,36,50.4
0.4,3,5,bangkok,4,0.03,0.5072370449981554,0.46415798265082997,0.39564410345254303,39,10.5
0.4,3,5,nyc_tist,6,0.02,0.5621536931215573,0.39244541078096207,0.2290101062451412,20,3.5
0.4,3,5,saopaulo,8,0.02,0.68986496684757,0.5499879567172494,0.20170068027210886,80,15.3
0.4,3,5,tokyo_tist,4,0.05,0.7198762817980433,0.579814422697065,0.11432740701033384,37,15.6
0.4,3,7,istanbul,8,0.01,0.5623746760063514,0.44402784098140424,0.20599223891933235,23,35.8
0.4,3,7,bangkok,4,0.03,0.7126102290625745,0.5703379306269164,0.2763849358577734,58,13.8
0.4,3,7,nyc_tist,6,0.02,0.7709628201364768,0.656500909927815,0.18603696985402088,26,4.1
0.4,3,7,saopaulo,8,0.02,0.6622487096132531,0.5580351808612671,0.2672077922077922,40,8.8
0.4,3,7,tokyo_tist,4,0.05,0.5046972281807132,0.3098485987624881,0.15687185443283005,80,28.4
0.4,3,10,istanbul,8,0.01,0.6271622648197853,0.5700451999637275,0.1901090348927703,40,55.2
0.4,3,10,bangkok,4,0.03,0.7847196915653759,0.6778777756114147,0.2643567215278637,55,13.6
0.4,3,10,nyc_tist,6,0.02,0.7346157012062058,0.6162929989747024,0.21696035242290748,42,5.6
0.4,3,10,saopaulo,8,0.02,0.7924454056612644,0.7044713421123946,0.2611162646876933,59,12.1
0.4,3,10,tokyo_tist,4,0.05,0.7336887639533698,0.6005331459300546,0.10780547365913218,35,15.2
0.4,4,3,istanbul,8,0.01,0.724276288759885,0.6626404110637882,0.21708828429838709,34,48.3
0.4,4,3,bangkok,4,0.03,0.7888104184484899,0.6833682448036307,0.2642824732912593,14,5.9
0.4,4,3,nyc_tist,6,0.02,0.4831486256045856,0.39385109376298466,0.2020385246609657,20,3.5
0.4,4,3,saopaulo,8,0.02,0.6488162121215427,0.5521136176289343,0.26315708101422386,30,7.1
0.4,4,3,tokyo_tist,4,0.05,0.7328371523689311,0.5992557285533965,0.11415468000833855,36,15.0
0.4,4,5,istanbul,8,0.01,0.5085676418840429,0.3640691493683092,0.18351666278880072,44,56.5
0.4,4,5,bangkok,4,0.03,0.8004920646322763,0.7007380969484144,0.3780637709854391,23,7.7
0.4,4,5,nyc_tist,6,0.02,0.7451465141472293,0.7115957613814284,0.23609311566036106,22,4.2
0.4,4,5,saopaulo,8,0.02,0.7563271352025797,0.6347062668758094,0.2220779220779221,58,11.5
0.4,4,5,tokyo_tist,4,0.05,0.6806383227155264,0.5209574840732895,0.28676851603680875,11,8.4
0.4,4,7,istanbul,8,0.01,0.5437977135975207,0.4622910931011047,0.22084580267813447,34,47.0
0.4,4,7,bangkok,4,0.03,0.6538809257551996,0.4808213886327994,0.28879264117477205,30,8.8
0.4,4,7,nyc_tist,6,0.02,0.8721558672165397,0.8084124331200031,0.21801848492701045,18,3.6
0.4,4,7,saopaulo,8,0.02,0.6913980926499385,0.5569809651506309,0.22761286332714903,60,12.0
0.4,4,7,tokyo_tist,4,0.05,1.0,1.0,0.10140266237827215,14,8.6
0.4,4,10,istanbul,8,0.01,0.5825697979073192,0.4814172420691061,0.1926149386093705,34,46.2
0.4,4,10,bangkok,4,0.03,0.6795865420932191,0.5632807134134488,0.5073547003258673,22,7.5
0.4,4,10,nyc_tist,6,0.02,0.9995227790957898,0.9992842445633416,0.20164982292476463,24,3.8
0.4,4,10,saopaulo,8,0.02,0.9166359683882076,0.8842386179402641,0.2113636363636364,68,13.1
0.4,4,10,tokyo_tist,4,0.05,0.5888572296792228,0.39579007521228293,0.17130349325471275,16,9.5
0.4,5,3,istanbul,8,0.01,0.7183893116547448,0.6752329139707087,0.24235324951794116,22,34.4
0.4,5,3,bangkok,4,0.03,0.9998972650765009,0.9998458976757917,0.15712576826300376,10,5.3
0.4,5,3,nyc_tist,6,0.02,0.7276231299073533,0.6959302585784074,0.21307333506089662,25,4.0
0.4,5,3,saopaulo,8,0.02,0.5978243695897146,0.543654801804119,0.2508812615955473,39,8.5
0.4,5,3,tokyo_tist,4,0.05,1.0,1.0,0.12414902170999732,15,8.8
0.4,5,5,istanbul,8,0.01,0.6402691819037566,0.5169926743714127,0.19429178133115102,28,40.7
0.4,5,5,bangkok,4,0.03,0.7850569420206345,0.6775986821289706,0.2808728292703048,12,5.7
0.4,5,5,nyc_tist,6,0.02,0.8092824565120633,0.7140596389467209,0.22305001295672455,19,3.4
0.4,5,5,saopaulo,8,0.02,0.6524853988100269,0.573404451678923,0.24862399505256647,44,9.2
0.4,5,5,tokyo_tist,4,0.05,0.7749832208498669,0.6861568220077735,0.11554245212781798,59,22.2
0.4,5,7,istanbul,8,0.01,0.68921501558675,0.6523543698950804,0.25396010344541703,35,48.8
0.4,5,7,bangkok,4,0.03,0.8490820732407505,0.7736231098611256,0.2288578146269026,23,7.8
0.4,5,7,nyc_tist,6,0.02,0.6031873986738817,0.43195242258511934,0.21469292562840114,18,3.3
0.4,5,7,saopaulo,8,0.02,0.6980187844195388,0.5895672682618027,0.24311997526283238,50,10.2
0.4,5,7,tokyo_tist,4,0.05,0.5534793338499081,0.35086776971239625,0.18371601298430565,61,22.7
0.4,5,10,istanbul,8,0.01,0.6129328370986964,0.5527064254399396,0.24120326168641704,26,38.2
0.4,5,10,bangkok,4,0.03,0.8488989488041204,0.7733484232061807,0.22928680443839458,23,7.8
0.4,5,10,nyc_tist,6,0.02,0.5567530132067927,0.43837114065442967,0.21994039906711582,23,4.3
0.4,5,10,saopaulo,8,0.02,0.5972269425717067,0.5279622924685737,0.26437847866419295,44,9.8
0.4,5,10,tokyo_tist,4,0.05,0.7217419547719522,0.5826235915790743,0.1445844128770958,39,16.3
0.4,6,3,istanbul,8,0.01,0.6657378857590609,0.6484484570749309,0.21998732338995017,24,37.0
0.4,6,3,bangkok,4,0.03,0.999945878682814,0.9999188180242211,0.15692777296539206,12,5.6
0.4,6,3,nyc_tist,6,0.02,0.85705205335447,0.7855822046992449,0.19080936339293428,26,3.9
0.4,6,3,saopaulo,8,0.02,0.8531806201711838,0.7798625416570929,0.16903215831787263,25,6.0
0.4,6,3,tokyo_tist,4,0.05,0.9149899026198232,0.8724983693448641,0.12143303850620925,19,10.0
0.4,6,5,istanbul,8,0.01,0.690438528776617,0.6505374629613461,0.2323483553836814,28,43.7
0.4,6,5,bangkok,4,0.03,0.9997889662619298,0.9996834493928948,0.16796601080724335,8,5.1
0.4,6,5,nyc_tist,6,0.02,0.6409633233550948,0.5095875095002498,0.22330914744752528,26,4.1
0.4,6,5,saopaulo,8,0.02,0.6734657753790582,0.5988714151315504,0.24902597402597404,41,8.9
0.4,6,5,tokyo_tist,4,0.05,0.8065752809989112,0.7098641840774621,0.16482920873164777,80,28.0
0.4,6,7,istanbul,8,0.01,0.5741532088242559,0.5595618389421979,0.20347831203181455,24,36.5
0.4,6,7,bangkok,4,0.03,0.8472537364486733,0.770882794553695,0.23124200800230996,12,5.6
0.4,6,7,nyc_tist,6,0.02,0.7402545168113632,0.6103817752170448,0.2096829921395871,30,4.7
0.4,6,7,saopaulo,8,0.02,0.6716603193974747,0.5529900565003187,0.25522572665429805,25,6.2
0.4,6,7,tokyo_tist,4,0.05,0.8965155505668142,0.8447733258502212,0.15395336370946128,17,9.7
0.4,6,10,istanbul,8,0.01,0.8028784019963613,0.7387675825010643,0.2373173725719879,26,38.2
0.4,6,10,bangkok,4,0.03,0.49977981786663594,0.3231979169500148,0.4151796394835623,20,7.4
0.4,6,10,nyc_tist,6,0.02,0.9998575809643556,0.9997863714465333,0.19629437678154962,22,3.7
0.4,6,10,saopaulo,8,0.02,0.7130718179733561,0.6436578468830263,0.2553030303030303,31,7.3
0.4,6,10,tokyo_tist,4,0.05,0.9174916066204668,0.8762374099307001,0.11437505583847046,14,12.5
0.5,2,3,istanbul,8,0.01,0.6217781232518982,0.5244735233189012,0.20881104630171934,60,76.0
