gamma,depth,n,P,neigh_mean,plateau_width,self_ari
0.5,6,10,0.6812451887851318,0.7604568438632495,4,0.762363620770472
0.6,2,3,0.6799736889238363,0.7143121822056363,4,0.6799736889238363
0.7,5,10,0.679089879710479,0.7566446528521406,2,0.8203947053097945
0.6,6,10,0.679089879710479,0.74991594032635,2,0.7688343117992005
0.6,5,10,0.679089879710479,0.7416822921138843,2,0.679089879710479
0.6,4,10,0.679089879710479,0.7399278051709347,2,0.6960858264574931
0.4,6,7,0.6785965211541658,0.7644237960852771,4,0.7459674664097162
0.4,5,5,0.6785965211541658,0.7329235151335836,2,0.7324154400192697
0.3,5,7,0.6785965211541658,0.732870186582827,1,0.7428108987084505
0.3,2,7,0.6778910666558661,0.7589072910038812,2,0.6778910666558661
0.3,2,10,0.6778910666558661,0.7284808376699751,1,0.7171544909141578
0.6,5,5,0.677750437740887,0.7568500536094425,3,0.8275925824842976
0.6,4,7,0.677750437740887,0.7455392888891124,4,0.7199136067238296
0.3,5,3,0.6773867210860895,0.7845737650566479,2,0.8358815715494814
0.3,4,5,0.6773867210860895,0.7195477985484969,3,0.7664585618244486
0.4,2,10,0.6771795642840077,0.7292396965982763,1,0.7111613448799913
0.6,2,10,0.6771795642840077,0.7259869492874202,1,0.6839592317791092
0.7,4,7,0.6756675901583196,0.7521850006460772,2,0.7998063598852725
0.6,4,5,0.6756675901583196,0.7415838609990761,2,0.677750437740887
0.8,4,5,0.6756675901583196,0.7277361558662481,3,0.7792326139772683
0.3,4,3,0.6755777394606868,0.7513390374385528,2,0.6773867210860895
0.4,4,3,0.6755777394606868,0.7290866432414326,2,0.6755777394606868
0.5,6,7,0.6751561833936113,0.7610994192092067,2,0.803225252877208
0.6,5,7,0.6751561833936113,0.7557670350045003,3,0.8044438406212061
0.5,4,7,0.6751561833936113,0.738364913969418,1,0.7623943862869823
0.5,5,7,0.6751561833936113,0.7324322566392182,3,0.6751561833936113
0.5,3,10,0.6695325791277581,0.7353400267228039,2,0.6695325791277581
0.5,4,10,0.6695325791277581,0.7088312276064949,2,0.6902949215488516
0.5,2,10,0.6695325791277581,0.7047114665265024,1,0.6771795642840077
0.4,6,10,0.6675107392906537,0.7381363647023784,3,0.7866158450842351
0.3,5,10,0.6675107392906537,0.7222807638952533,4,0.747937724468799
0.4,4,10,0.6675107392906537,0.720488885768141,4,0.7534344634327518
0.4,5,10,0.6675107392906537,0.7192234137026229,3,0.6675107392906537
0.4,5,7,0.6675107392906537,0.7135291098313867,4,0.6785965211541658
0.5,5,10,0.6675107392906537,0.6926100889165333,1,0.6812451887851318
0.7,4,10,0.6653139528810728,0.7722617835667706,4,0.8355934458753712
0.7,3,10,0.6653139528810728,0.749778639414063,2,0.6653139528810728
0.7,3,7,0.6653139528810728,0.7356976581676898,3,0.7260393375506317
0.6,3,10,0.6653139528810728,0.7153102175771889,1,0.8185891507095843
0.8,6,5,0.6621614502188109,0.7398337742388428,1,0.6621614502188109
0.7,6,5,0.6621614502188109,0.7385247135109179,3,0.7280246650154523
0.8,6,7,0.6621614502188109,0.7187942566389631,2,0.707651886623063
0.3,2,3,0.6587984925447948,0.7383804402360497,2,0.6587984925447948
0.3,3,3,0.6587984925447948,0.7256053542779959,2,0.8013905932720577
0.3,2,5,0.6587984925447948,0.7196715702186994,3,0.7624293938564548
0.4,2,3,0.6587984925447948,0.7184608050026619,4,0.730903281270891
0.5,3,3,0.649384055323382,0.7290871913790585,4,0.7391443765762639
0.6,3,5,0.649384055323382,0.7265216295488462,1,0.8276180556507585
0.5,4,5,0.649384055323382,0.7196720908815087,3,0.7466312007633894
0.8,6,3,0.6473032774412802,0.7313805590801438,1,0.8428736822387144
