city,K,eps,kind,gamma,depth,n,ari_mean,ari_min,bfrac,n_iters,secs
nyc_tist,4,0.07,Keps,0.4,6,3,0.6183344728377009,0.4240217407841418,0.5564524488209381,14,3.3
nyc_tist,4,0.1,Keps,0.4,6,3,0.3872393727207025,0.25940613201444007,0.8063228815755377,15,3.6
nyc_tist,5,0.01,Keps,0.4,6,3,0.8210854193037939,0.5527135482594848,0.10509199274423427,43,7.2
nyc_tist,5,0.02,Keps,0.4,6,3,0.818184555740291,0.5457277727069251,0.19747343871469292,23,4.7
nyc_tist,5,0.03,Keps,0.4,6,3,0.5850904643258769,0.47812902072737284,0.2964757709251101,32,6.1
nyc_tist,5,0.05,Keps,0.4,6,3,0.6944870749376948,0.5120256837979092,0.44450634879502465,36,6.7
nyc_tist,5,0.07,Keps,0.4,6,3,0.5992934707915824,0.38381366952755597,0.6561933143301373,27,5.7
nyc_tist,5,0.1,Keps,0.4,6,3,0.4255453821185782,0.20570672946130572,0.8499093029282199,11,3.5
nyc_tist,6,0.01,Keps,0.4,6,3,0.7912201956695722,0.703242422651778,0.10304483026690851,44,8.3
nyc_tist,6,0.02,Keps,0.4,6,3,0.9141767114071866,0.7855822046992449,0.1870044052863436,35,7.1
nyc_tist,6,0.03,Keps,0.4,6,3,0.8540622616987766,0.6357029569067848,0.2791137600414615,27,6.1
nyc_tist,6,0.05,Keps,0.4,6,3,0.5890643616387441,0.46490672825587953,0.4909302928219746,32,7.0
nyc_tist,6,0.07,Keps,0.4,6,3,0.5330324939195175,0.33690490932597833,0.6801243845555844,28,6.5
nyc_tist,6,0.1,Keps,0.4,6,3,0.5018800889876435,0.1816098087707314,0.8641228297486394,14,4.3
nyc_tist,7,0.01,Keps,0.4,6,3,0.751234906289051,0.6129990021864954,0.11058564394920964,48,10.4
nyc_tist,7,0.02,Keps,0.4,6,3,0.8531861090165233,0.7541417678936195,0.20107540813682298,30,7.3
nyc_tist,7,0.03,Keps,0.4,6,3,0.7030057500165403,0.49449484741615424,0.32354236848924595,23,6.1
nyc_tist,7,0.05,Keps,0.4,6,3,0.5792522399652319,0.4577676409589698,0.5709898937548588,21,5.9
nyc_tist,7,0.07,Keps,0.4,6,3,0.589768600082851,0.47439856516739654,0.7127105467737757,24,6.8
nyc_tist,7,0.1,Keps,0.4,6,3,0.5121415219990888,0.2990560337867316,0.8878984192796061,30,8.2
nyc_tist,8,0.01,Keps,0.4,6,3,0.8015997630328796,0.676315728612715,0.10824047680746307,60,13.9
nyc_tist,8,0.02,Keps,0.4,6,3,0.7322473546500226,0.553083839730825,0.23837781808758746,39,9.8
nyc_tist,8,0.03,Keps,0.4,6,3,0.8126293968627187,0.6929224829229697,0.32973568281938326,24,7.3
nyc_tist,8,0.05,Keps,0.4,6,3,0.5709001650998031,0.4280883160943564,0.5931199792692408,30,8.4
nyc_tist,8,0.07,Keps,0.4,6,3,0.5112510098711532,0.3401618062689015,0.7402176729722727,25,8.1
nyc_tist,8,0.1,Keps,0.4,6,3,0.31866586756843435,0.0,0.8989893754858771,26,8.5
nyc_tist,9,0.01,Keps,0.4,6,3,0.8506698378570359,0.6848877317276637,0.1144985747603006,70,17.8
nyc_tist,9,0.02,Keps,0.4,6,3,0.8082986044355099,0.5564962095345086,0.24809536149261469,28,8.2
nyc_tist,9,0.03,Keps,0.4,6,3,0.8044964600594005,0.6900595541838017,0.3645633583830008,26,7.9
nyc_tist,9,0.05,Keps,0.4,6,3,0.5543434403039872,0.4102950104938943,0.6503887017362011,25,7.9
nyc_tist,9,0.07,Keps,0.4,6,3,0.4615418226647446,0.28653380596113265,0.7706011920186577,21,7.9
nyc_tist,9,0.1,Keps,0.4,6,3,0.18642767536927055,-0.07866524778322186,0.9309536149261467,14,6.5
saopaulo,4,0.01,Keps,0.4,6,3,0.8869435312267393,0.8267660672770792,0.0523747680890538,58,11.4
saopaulo,4,0.02,Keps,0.4,6,3,0.8919850637730372,0.7942988802740449,0.10293135435992577,22,5.8
saopaulo,4,0.03,Keps,0.4,6,3,0.8616888556603491,0.7063175687284234,0.15167903525046383,14,4.4
saopaulo,4,0.05,Keps,0.4,6,3,0.7905561784338831,0.521728473653451,0.3189332096474954,17,5.0
saopaulo,4,0.07,Keps,0.4,6,3,0.8102869119689291,0.5745075227016871,0.48264378478664194,18,5.1
saopaulo,4,0.1,Keps,0.4,6,3,0.823541065609666,0.6719631675122798,0.600630797773655,22,6.0
saopaulo,5,0.01,Keps,0.4,6,3,0.9405225006537444,0.9014235662855679,0.04307977736549166,60,13.6
saopaulo,5,0.02,Keps,0.4,6,3,0.9453388803107409,0.9114440674008003,0.1053617810760668,20,6.0
saopaulo,5,0.03,Keps,0.4,6,3,0.9477684283323325,0.9129035071150446,0.18021335807050093,18,5.7
saopaulo,5,0.05,Keps,0.4,6,3,0.8010823870548316,0.5622718826414821,0.35529684601113176,27,7.4
saopaulo,5,0.07,Keps,0.4,6,3,0.790458384308156,0.5341449055077128,0.49833951762523193,18,5.7
saopaulo,5,0.1,Keps,0.4,6,3,0.6013035408579144,0.36666337450617237,0.7417346938775511,29,8.3
saopaulo,6,0.01,Keps,0.4,6,3,0.8443852272204253,0.7780954375709956,0.06965677179962895,52,13.4
saopaulo,6,0.02,Keps,0.4,6,3,0.8368795732567527,0.7489391400218396,0.1540630797773655,32,9.2
saopaulo,6,0.03,Keps,0.4,6,3,0.8149349386171908,0.7076561523210306,0.23640074211502782,24,7.6
saopaulo,6,0.05,Keps,0.4,6,3,0.6376348054631831,0.44983609705174493,0.4455936920222635,38,10.7
saopaulo,6,0.07,Keps,0.4,6,3,0.5037317880101467,0.33184835769145404,0.6738218923933209,21,7.2
saopaulo,6,0.1,Keps,0.4,6,3,0.5488270270100983,0.35926916779434653,0.863617810760668,21,7.2
saopaulo,7,0.01,Keps,0.4,6,3,0.9129689479284921,0.799997531935976,0.07642857142857143,80,22.3
saopaulo,7,0.02,Keps,0.4,6,3,0.9085368227720195,0.780582733027725,0.1690630797773655,38,11.6
saopaulo,7,0.03,Keps,0.4,6,3,0.8670142963369656,0.7263826007785897,0.2789517625231911,35,11.1
saopaulo,7,0.05,Keps,0.4,6,3,0.7200471319434867,0.5155823210512608,0.4737569573283859,33,10.9
saopaulo,7,0.07,Keps,0.4,6,3,0.5198885057956724,0.3730659499262893,0.7250742115027828,27,9.3
saopaulo,7,0.1,Keps,0.4,6,3,0.5714262000040822,0.39377396339276993,0.8536641929499071,17,7.1
saopaulo,8,0.01,Keps,0.4,6,3,0.775175799332282,0.6072854306648039,0.09941558441558443,80,26.3
saopaulo,8,0.02,Keps,0.4,6,3,0.7821882006864455,0.5094355339393536,0.19463821892393324,36,12.5
saopaulo,8,0.03,Keps,0.4,6,3,0.7419080360296872,0.4712300460390646,0.3093135435992579,37,13.0
saopaulo,8,0.05,Keps,0.4,6,3,0.600281351593672,0.4797303028408018,0.5422356215213358,27,10.2
saopaulo,8,0.07,Keps,0.4,6,3,0.5392823160539294,0.4025625649500696,0.7286827458256029,27,10.6
saopaulo,8,0.1,Keps,0.4,6,3,0.6235311658720833,0.4172434052892098,0.8890630797773655,19,8.7
saopaulo,9,0.01,Keps,0.4,6,3,0.7315497964891613,0.5952754593596064,0.12908163265306122,80,27.7
saopaulo,9,0.02,Keps,0.4,6,3,0.7827915893144308,0.5933554065506293,0.2084508348794063,53,19.1
saopaulo,9,0.03,Keps,0.4,6,3,0.7260216844429842,0.45535285070032266,0.31666048237476807,45,16.6
saopaulo,9,0.05,Keps,0.4,6,3,0.5773125636846486,0.43788802084420697,0.5780426716141002,29,11.9
saopaulo,9,0.07,Keps,0.4,6,3,0.5215040741432876,0.3764641897961735,0.7159925788497217,32,13.1
saopaulo,9,0.1,Keps,0.4,6,3,0.6390884239862185,0.4329327616715736,0.8764285714285714,17,8.3
tokyo_tist,4,0.01,Keps,0.4,6,3,0.8663694568259824,0.6659236420649564,0.0035986777450192084,29,19.8
tokyo_tist,4,0.02,Keps,0.4,6,3,0.8786519508837527,0.6966298772093819,0.0231537568122934,27,18.8
tokyo_tist,4,0.03,Keps,0.4,6,3,0.9534321557631692,0.8835803894079228,0.0449602430090235,27,18.5
tokyo_tist,4,0.05,Keps,0.4,6,3,0.9489815505873,0.8724983693448641,0.1243348521397302,19,14.9
tokyo_tist,4,0.07,Keps,0.4,6,3,0.9356078074740409,0.8392425020017812,0.20530331457160728,25,18.0
tokyo_tist,4,0.1,Keps,0.4,6,3,0.7243795679728178,0.4814162016452898,0.3893504869114625,26,18.5
tokyo_tist,5,0.01,Keps,0.4,6,3,0.7801467739244456,0.5425227518225334,0.0358223889931207,69,49.3
tokyo_tist,5,0.02,Keps,0.4,6,3,0.7555985963922927,0.543412813645191,0.08797284016796211,58,41.7
tokyo_tist,5,0.03,Keps,0.4,6,3,0.7224716533722912,0.5422443536926175,0.11277048155096936,56,40.4
tokyo_tist,5,0.05,Keps,0.4,6,3,0.6870995427405855,0.5094971735052986,0.24071830608415973,30,29.0
tokyo_tist,5,0.07,Keps,0.4,6,3,0.7223533030100028,0.49562974934432596,0.31627267041901186,33,31.6
tokyo_tist,5,0.1,Keps,0.4,6,3,0.6429727692685516,0.5208134736020489,0.4996194049852586,28,29.5
tokyo_tist,6,0.01,Keps,0.4,6,3,0.7004441866910759,0.5284095730127769,0.05031716251228445,67,62.0
tokyo_tist,6,0.02,Keps,0.4,6,3,0.6863280918891775,0.573760702815077,0.11497185741088181,69,64.6
tokyo_tist,6,0.03,Keps,0.4,6,3,0.6889328234747363,0.5793468483485276,0.1575234521575985,48,48.4
tokyo_tist,6,0.05,Keps,0.4,6,3,0.7350831829240781,0.6204067342816303,0.31510050924685074,35,34.1
tokyo_tist,6,0.07,Keps,0.4,6,3,0.7458240869757078,0.5902606974689701,0.40891628696506743,20,27.0
tokyo_tist,6,0.1,Keps,0.4,6,3,0.6306710830178097,0.49539372338908455,0.5922773161797552,28,37.3
tokyo_tist,7,0.01,Keps,0.4,6,3,0.644985454826292,0.4854648722950024,0.05532028946663094,69,69.6
tokyo_tist,7,0.02,Keps,0.4,6,3,0.6174495794204136,0.3993682835441605,0.11386402215670507,69,77.9
tokyo_tist,7,0.03,Keps,0.4,6,3,0.612102097293582,0.40190365666781697,0.1773215402483695,47,49.5
tokyo_tist,7,0.05,Keps,0.4,6,3,0.6297719502948105,0.45949727878820645,0.3464486732779416,37,43.6
tokyo_tist,7,0.07,Keps,0.4,6,3,0.6013839231277828,0.4062136852292615,0.4647833467345662,22,26.4
tokyo_tist,7,0.1,Keps,0.4,6,3,0.531980209602873,0.4072276426808325,0.6289430894308943,31,37.8
tokyo_tist,8,0.01,Keps,0.4,6,3,0.5574870557281326,0.38370977717028704,0.05054945054945056,80,88.1
tokyo_tist,8,0.02,Keps,0.4,6,3,0.5940687319916906,0.41595040927698235,0.0994585901902975,80,89.3
tokyo_tist,8,0.03,Keps,0.4,6,3,0.5932026307017083,0.40774023224200967,0.16301259715893862,69,75.1
tokyo_tist,8,0.05,Keps,0.4,6,3,0.553550463732265,0.39897049264324735,0.3643991780577146,35,42.8
tokyo_tist,8,0.07,Keps,0.4,6,3,0.503693109767013,0.3870190167099611,0.5142035200571785,38,45.6
tokyo_tist,8,0.1,Keps,0.4,6,3,0.4661790854713697,0.39268422660092395,0.6770803180559277,26,32.5
tokyo_tist,9,0.01,Keps,0.4,6,3,0.6451774791089397,0.45382128952965584,0.04901277584204413,80,89.6
tokyo_tist,9,0.02,Keps,0.4,6,3,0.6586130744166707,0.51663063746012,0.09446261056017155,80,91.7
tokyo_tist,9,0.03,Keps,0.4,6,3,0.6723508808534936,0.5269665229669425,0.15208791208791209,48,60.1
tokyo_tist,9,0.05,Keps,0.4,6,3,0.6095654877107496,0.4636299386413316,0.35951755561511656,33,40.1
tokyo_tist,9,0.07,Keps,0.4,6,3,0.536807219679434,0.43618341933971944,0.5431537568122934,41,52.2
tokyo_tist,9,0.1,Keps,0.4,6,3,0.4745753578544386,0.4076896075607998,0.7246743500402039,29,37.1
istanbul,4,0.01,neigh_0.3_6_3,0.3,6,3,0.5834251834355488,0.3527937296117541,0.17845939072040054,21,31.2
