gamma,depth,n,P,neigh_mean,plateau_width,self_ari
0.7,4,10,0.6653139528810728,0.7634388580818008,3,0.8355934458753712
0.7,3,10,0.6653139528810728,0.7613882619696011,2,0.6653139528810728
0.7,3,7,0.6653139528810728,0.7330823057646612,2,0.7260393375506317
0.6,3,10,0.6653139528810728,0.7153102175771889,1,0.8185891507095843
0.7,2,10,0.6653139528810728,0.712403593042896,2,0.7614054228313455
0.3,2,3,0.6587984925447948,0.7383804402360497,2,0.6587984925447948
0.3,3,3,0.6587984925447948,0.7256053542779959,2,0.8013905932720577
0.3,2,5,0.6587984925447948,0.7196715702186994,3,0.7624293938564548
0.4,2,3,0.6587984925447948,0.7184608050026619,4,0.730903281270891
0.5,3,3,0.649384055323382,0.7290871913790585,4,0.7391443765762639
0.6,3,5,0.649384055323382,0.7265216295488462,1,0.8276180556507585
0.5,4,5,0.649384055323382,0.7196720908815087,3,0.7466312007633894
0.6,3,3,0.6472107900321123,0.7256539195590893,1,0.7440630526995136
0.7,3,5,0.6472107900321123,0.7222781396209358,1,0.7100178550828177
0.7,2,3,0.6472107900321123,0.694007264009985,2,0.7017293678330164
0.5,5,3,0.6432549451037091,0.7433767195879863,3,0.6432549451037091
0.4,5,3,0.6432549451037091,0.7391753022757619,2,0.8087468152456626
0.5,5,5,0.6432549451037091,0.7245024625200829,1,0.721964423356221
0.5,4,3,0.6432549451037091,0.7169779353932451,3,0.7813457969833687
0.3,3,7,0.6425787325998737,0.7343362517969211,2,0.8308847861209026
0.4,2,7,0.6425787325998737,0.7269248097792002,2,0.8061767174720245
0.5,3,7,0.6425787325998737,0.7265589299475971,2,0.8219175792254209
0.4,3,10,0.6425787325998737,0.7198249889519102,1,0.7345263654412003
0.4,4,7,0.6425787325998737,0.7110298460969089,3,0.7522465198438397
0.3,3,5,0.6340659102648497,0.7587419598115491,2,0.7572225135305812
0.4,3,7,0.6340659102648497,0.7460566587097303,3,0.6425787325998737
0.4,3,3,0.6340659102648497,0.719051725300201,1,0.7332284509564565
0.4,4,5,0.6340659102648497,0.7150899582704021,4,0.6982343357163309
0.4,3,5,0.6340659102648497,0.6938186261281819,3,0.6340659102648497
