gamma,depth,n,city,K,eps,ari_mean,ari_min,n_iters,secs
0.4,5,5,saopaulo,8,0.02,0.6524853988100269,0.573404451678923,44,8.7
0.4,5,5,tokyo_tist,4,0.05,0.7749832208498669,0.6861568220077735,59,20.8
0.4,5,7,istanbul,8,0.01,0.68921501558675,0.6523543698950804,35,46.8
0.4,5,7,bangkok,4,0.03,0.8490820732407505,0.7736231098611256,23,7.2
0.4,5,7,nyc_tist,6,0.02,0.6031873986738817,0.43195242258511934,18,3.1
0.4,5,7,saopaulo,8,0.02,0.6980187844195388,0.5895672682618027,50,9.5
0.4,5,7,tokyo_tist,4,0.05,0.5534793338499081,0.35086776971239625,61,21.9
0.4,5,10,istanbul,8,0.01,0.6129328370986964,0.5527064254399396,26,37.1
0.4,5,10,bangkok,4,0.03,0.8488989488041204,0.7733484232061807,23,7.7
0.4,5,10,nyc_tist,6,0.02,0.5567530132067927,0.43837114065442967,23,3.8
0.4,5,10,saopaulo,8,0.02,0.5972269425717067,0.5279622924685737,44,9.4
0.4,5,10,tokyo_tist,4,0.05,0.7217419547719522,0.5826235915790743,39,16.2
0.5,2,3,istanbul,8,0.01,0.6217781232518982,0.5244735233189012,60,72.9
0.5,2,3,bangkok,4,0.03,0.6813137784255643,0.6202034891474539,10,5.2
0.5,2,3,nyc_tist,6,0.02,0.7962411494397766,0.6946035140383581,36,4.7
0.5,2,3,saopaulo,8,0.02,0.8079676800072167,0.7700979854429947,25,5.9
0.5,2,3,tokyo_tist,4,0.05,0.7294863475523767,0.6147488219573013,58,20.7
0.5,2,5,istanbul,8,0.01,0.38262118529648054,0.29865306475294584,52,63.0
0.5,2,5,bangkok,4,0.03,0.5948887987046116,0.4675487208830452,12,5.4
0.5,2,5,nyc_tist,6,0.02,0.7548925427765477,0.7236362566744708,39,5.0
0.5,2,5,saopaulo,8,0.02,0.9176362707087504,0.87696226754706,23,5.5
0.5,2,5,tokyo_tist,4,0.05,0.5115971251046348,0.32969667033907496,61,22.0
0.5,2,7,istanbul,8,0.01,0.6292779637695363,0.6072851309106665,44,56.4
0.5,2,7,bangkok,4,0.03,0.762046703813008,0.6436172723448426,16,6.2
0.5,2,7,nyc_tist,6,0.02,0.6969679177969845,0.6332560531551852,37,4.9
0.5,2,7,saopaulo,8,0.02,1.0,1.0,29,6.5
0.5,2,7,tokyo_tist,4,0.05,0.8203304774287011,0.7730914359983138,36,14.6
0.5,2,10,istanbul,8,0.01,0.6516673086532324,0.5458400412066132,32,43.6
0.5,2,10,bangkok,4,0.03,0.6952675357041808,0.5435849484339231,19,7.0
0.5,2,10,nyc_tist,6,0.02,0.7270391847893425,0.6960731694365405,38,5.2
0.5,2,10,saopaulo,8,0.02,0.6529253942358982,0.5583164254276692,29,6.9
0.5,2,10,tokyo_tist,4,0.05,0.6589983980373845,0.49976372499156446,60,21.4
