city,K,eps,kind,gamma,depth,n,ari_mean,ari_min,n_iters,secs
bangkok,6,0.03,Keps,0.7,5,7,0.5340646037950084,0.3933124473761291,25,14.3
bangkok,6,0.05,Keps,0.7,5,7,0.3487006074736396,0.21343565743617254,25,14.7
bangkok,7,0.01,Keps,0.7,5,7,0.5499913429466206,0.34971085807301566,45,25.3
bangkok,7,0.02,Keps,0.7,5,7,0.5517461580241786,0.389229552667016,25,16.4
bangkok,7,0.03,Keps,0.7,5,7,0.5668680026974264,0.39303523938221224,33,21.4
bangkok,7,0.05,Keps,0.7,5,7,0.3384724494873673,0.24159155526529535,47,29.6
bangkok,8,0.01,Keps,0.7,5,7,0.7024263039081451,0.4474133458621642,69,40.8
bangkok,8,0.02,Keps,0.7,5,7,0.5796383829947332,0.46143435288443463,22,16.0
bangkok,8,0.03,Keps,0.7,5,7,0.5031353499326684,0.3453007345033722,26,19.5
bangkok,8,0.05,Keps,0.7,5,7,0.3823358927748471,0.2667923152910951,28,22.6
nyc_tist,4,0.01,Keps,0.7,5,7,0.7989034847543881,0.49889982680908834,16,3.4
nyc_tist,4,0.02,Keps,0.7,5,7,0.9990978418912622,0.9977446696379629,25,4.4
nyc_tist,4,0.03,Keps,0.7,5,7,0.8046779869336393,0.5116949673340985,32,5.4
nyc_tist,4,0.05,Keps,0.7,5,7,0.5276705996404166,0.06724633135297986,37,6.0
nyc_tist,5,0.01,Keps,0.7,5,7,0.8487689442733851,0.6223911824928934,18,4.0
nyc_tist,5,0.02,Keps,0.7,5,7,0.819711246008264,0.5538703504870325,17,3.8
nyc_tist,5,0.03,Keps,0.7,5,7,0.7090013695684692,0.5161265215459533,18,4.1
nyc_tist,5,0.05,Keps,0.7,5,7,0.5686239419246865,0.3920621987640514,26,5.3
nyc_tist,6,0.01,Keps,0.7,5,7,0.8790257868715452,0.6997148172327721,20,4.7
nyc_tist,6,0.02,Keps,0.7,5,7,0.8371794264781451,0.621131298414329,30,6.2
nyc_tist,6,0.03,Keps,0.7,5,7,0.8256139866593271,0.5649770642683907,20,4.7
nyc_tist,6,0.05,Keps,0.7,5,7,0.6834673064940404,0.3070620458118294,29,6.3
nyc_tist,7,0.01,Keps,0.7,5,7,0.848204569831886,0.6243119582956014,31,6.8
nyc_tist,7,0.02,Keps,0.7,5,7,0.8411332742890016,0.6046710053101839,30,6.8
nyc_tist,7,0.03,Keps,0.7,5,7,0.8234395325639351,0.5594993756904316,28,6.8
nyc_tist,7,0.05,Keps,0.7,5,7,0.5734776975064042,0.44114731679155333,35,8.5
nyc_tist,8,0.01,Keps,0.7,5,7,0.8167424065339202,0.6952601368038355,27,6.8
nyc_tist,8,0.02,Keps,0.7,5,7,0.9962937904550669,0.9928117709417638,44,10.1
nyc_tist,8,0.03,Keps,0.7,5,7,0.8810665722861339,0.7036875968434932,34,8.6
nyc_tist,8,0.05,Keps,0.7,5,7,0.5422646991414757,0.4188125698757539,34,8.9
saopaulo,4,0.01,Keps,0.7,5,7,0.7185681599757883,0.5873768991314625,43,8.3
saopaulo,4,0.02,Keps,0.7,5,7,0.7211398753974647,0.5739966490063817,31,6.8
saopaulo,4,0.03,Keps,0.7,5,7,0.7156469940950444,0.5589364639558984,33,7.1
saopaulo,4,0.05,Keps,0.7,5,7,0.5950511146230298,0.36395220292363856,19,5.0
saopaulo,5,0.01,Keps,0.7,5,7,0.6757488912312242,0.4989016832950304,45,10.0
saopaulo,5,0.02,Keps,0.7,5,7,0.700692757268366,0.5976091427553305,36,8.4
saopaulo,5,0.03,Keps,0.7,5,7,0.6940366100520765,0.4827752197035617,34,8.1
saopaulo,5,0.05,Keps,0.7,5,7,0.6708995918653435,0.5094549330953335,25,6.6
saopaulo,6,0.01,Keps,0.7,5,7,0.6962181336971309,0.571972634632097,53,13.0
saopaulo,6,0.02,Keps,0.7,5,7,0.716663271516855,0.5141887475625799,30,8.3
saopaulo,6,0.03,Keps,0.7,5,7,0.7431598326912265,0.5625027140100282,32,8.7
saopaulo,6,0.05,Keps,0.7,5,7,0.6752988278780151,0.5371644741923162,29,8.3
saopaulo,7,0.01,Keps,0.7,5,7,0.8387317413331455,0.6649482641383945,68,18.3
saopaulo,7,0.02,Keps,0.7,5,7,0.8477578963484241,0.6678716668863478,35,10.4
saopaulo,7,0.03,Keps,0.7,5,7,0.7791967630030314,0.6732180158906367,29,9.2
saopaulo,7,0.05,Keps,0.7,5,7,0.7229887545112876,0.592615253707062,30,9.5
saopaulo,8,0.01,Keps,0.7,5,7,0.975480246886192,0.9387118152543885,46,13.9
saopaulo,8,0.02,Keps,0.7,5,7,0.8185141322152012,0.6029159996543002,45,14.0
saopaulo,8,0.03,Keps,0.7,5,7,0.7993567495993493,0.6014372277662626,34,11.6
saopaulo,8,0.05,Keps,0.7,5,7,0.7224476845547703,0.5982984464382939,37,12.2
tokyo_tist,4,0.01,Keps,0.7,5,7,0.79794012245476,0.6582847885209372,55,30.2
tokyo_tist,4,0.02,Keps,0.7,5,7,0.7606406902953371,0.6810892196797141,33,20.3
tokyo_tist,4,0.03,Keps,0.7,5,7,0.7511574085382018,0.655542732585745,54,30.2
tokyo_tist,4,0.05,Keps,0.7,5,7,0.8087823577840823,0.6871846729677844,39,23.2
tokyo_tist,5,0.01,Keps,0.7,5,7,0.7710409014090751,0.5708583377191826,80,51.3
tokyo_tist,5,0.02,Keps,0.7,5,7,0.8413718644114689,0.6446065751548241,80,50.0
tokyo_tist,5,0.03,Keps,0.7,5,7,0.7550086380947185,0.5966187128442121,67,44.5
tokyo_tist,5,0.05,Keps,0.7,5,7,0.846361205299029,0.625438361027701,23,19.7
tokyo_tist,6,0.01,Keps,0.7,5,7,0.5937835833305876,0.4617858500107714,80,62.2
tokyo_tist,6,0.02,Keps,0.7,5,7,0.6623305218796574,0.45428251425641064,68,52.3
tokyo_tist,6,0.03,Keps,0.7,5,7,0.6018885389727477,0.454085332924068,66,51.0
tokyo_tist,6,0.05,Keps,0.7,5,7,0.6613095307240575,0.4377811767962989,34,29.3
tokyo_tist,7,0.01,Keps,0.7,5,7,0.6905716438571983,0.4037165553687664,80,68.8
tokyo_tist,7,0.02,Keps,0.7,5,7,0.6126896346273116,0.41580360405309974,80,69.4
tokyo_tist,7,0.03,Keps,0.7,5,7,0.6825140290430807,0.4115756247527922,47,43.6
tokyo_tist,7,0.05,Keps,0.7,5,7,0.5855782547695448,0.3819292640830929,31,31.1
tokyo_tist,8,0.01,Keps,0.7,5,7,0.6601015133694987,0.3734620417827979,80,76.9
tokyo_tist,8,0.02,Keps,0.7,5,7,0.6010486814479029,0.36588857200804353,80,76.8
tokyo_tist,8,0.03,Keps,0.7,5,7,0.6747105001279581,0.4468320647571281,55,55.3
tokyo_tist,8,0.05,Keps,0.7,5,7,0.6369246403008733,0.4786542907454583,40,41.4
istanbul,8,0.01,neigh_0.6_5_7,0.6,5,7,0.6294228360643637,0.4892659786519996,36,73.7
istanbul,8,0.01,neigh_0.7_4_7,0.7,4,7,0.6884632652924441,0.5369064702141791,32,66.8
istanbul,8,0.01,neigh_0.7_5_5,0.7,5,5,0.6595259479615844,0.46146980441190016,33,68.9
istanbul,8,0.01,neigh_0.7_5_10,0.7,5,10,0.6645948774513244,0.5624957829355933,51,103.7
bangkok,4,0.01,neigh_0.6_5_7,0.6,5,7,0.9996511573463674,0.9992260504378406,12,7.0
