dataset,backbone,seed,method,situation,n_requests,n_users,macroCatMRR,microCatMRR,n_cats_supported,low_support
saopaulo,SASRec,42,SIT,2,10625,2573,0.24059319562719228,0.39287142223627564,10,False
saopaulo,SASRec,42,SIT,3,2431,1204,0.351124807209506,0.3809805879821595,8,False
saopaulo,SASRec,42,Steck-b,0,6449,1093,0.323202793953644,0.5562046834968345,9,False
saopaulo,SASRec,42,Steck-b,1,4316,1008,0.34040050515622267,0.4134374258460476,9,False
saopaulo,SASRec,42,Steck-b,2,10625,2573,0.3010533239159075,0.41965224417481384,10,False
saopaulo,SASRec,42,Steck-b,3,2431,1204,0.44839795056098325,0.44929923610469524,8,False
saopaulo,B_blind,43,BASE,0,11777,2456,0.18262527177956425,0.31788088584553714,10,False
saopaulo,B_blind,43,BASE,1,6024,1055,0.1857206699068975,0.49413898159052994,9,False
saopaulo,B_blind,43,BASE,2,3275,920,0.2221793433969908,0.3581688545530155,8,False
saopaulo,B_blind,43,BASE,3,2745,810,0.22018592060535142,0.29042800986354417,8,False
saopaulo,B_blind,43,SIT,0,11777,2456,0.1791028339799471,0.34355648653356896,10,False
saopaulo,B_blind,43,SIT,1,6024,1055,0.16191466511267974,0.5447812522292274,9,False
saopaulo,B_blind,43,SIT,2,3275,920,0.22563129255651554,0.374882619258284,8,False
saopaulo,B_blind,43,SIT,3,2745,810,0.22503592675471396,0.3035081271896731,8,False
saopaulo,B_blind,43,Steck-b,0,11777,2456,0.2690540307891468,0.3943010153990502,10,False
saopaulo,B_blind,43,Steck-b,1,6024,1055,0.23648402651896147,0.5574056805787584,9,False
saopaulo,B_blind,43,Steck-b,2,3275,920,0.3008064255125072,0.4315824937331685,8,False
saopaulo,B_blind,43,Steck-b,3,2745,810,0.2905266073123892,0.33775008916637095,8,False
saopaulo,B_full,43,BASE,0,11777,2456,0.35927384083382596,0.42123677359569994,10,False
saopaulo,B_full,43,BASE,1,6024,1055,0.27575106485333517,0.582949645612616,9,False
saopaulo,B_full,43,BASE,2,3275,920,0.41491484296383724,0.5069097891961433,8,False
saopaulo,B_full,43,BASE,3,2745,810,0.38978990513357625,0.3887668530907293,8,False
saopaulo,B_full,43,SIT,0,11777,2456,0.36430523712398194,0.4366608793249336,10,False
saopaulo,B_full,43,SIT,1,6024,1055,0.2344317518527854,0.5763685383330063,9,False
saopaulo,B_full,43,SIT,2,3275,920,0.4050136824209694,0.49980368263362845,8,False
saopaulo,B_full,43,SIT,3,2745,810,0.3953163054890374,0.3921421210027429,8,False
saopaulo,B_full,43,Steck-b,0,11777,2456,0.41087444492747965,0.43991702616885026,10,False
saopaulo,B_full,43,Steck-b,1,6024,1055,0.2826346021108673,0.5757581849041089,9,False
saopaulo,B_full,43,Steck-b,2,3275,920,0.4229558948883523,0.5060235722664173,8,False
saopaulo,B_full,43,Steck-b,3,2745,810,0.40848309149493356,0.3990066060677558,8,False
saopaulo,EASE,43,BASE,0,11777,2456,0.18452942011964968,0.31203810011747,10,False
saopaulo,EASE,43,BASE,1,6024,1055,0.18458209715404914,0.5225030547929355,9,False
saopaulo,EASE,43,BASE,2,3275,920,0.2227067975361483,0.3663274341212977,8,False
saopaulo,EASE,43,BASE,3,2745,810,0.21486364317637155,0.2776079693914541,8,False
saopaulo,EASE,43,SIT,0,11777,2456,0.18164924798722126,0.34882114116598617,10,False
saopaulo,EASE,43,SIT,1,6024,1055,0.1304620522193967,0.5342592550370379,9,False
saopaulo,EASE,43,SIT,2,3275,920,0.21867387900767654,0.3773639065999688,8,False
saopaulo,EASE,43,SIT,3,2745,810,0.2171689163552208,0.26971050651564615,8,False
saopaulo,EASE,43,Steck-b,0,11777,2456,0.2770106677671236,0.36621378432598206,10,False
saopaulo,EASE,43,Steck-b,1,6024,1055,0.22238405102905137,0.5469815155128854,9,False
saopaulo,EASE,43,Steck-b,2,3275,920,0.2934534201294828,0.43025752625047164,8,False
saopaulo,EASE,43,Steck-b,3,2745,810,0.27261299044931303,0.3127367822317618,8,False
saopaulo,DeepFM,43,BASE,0,11777,2456,0.18318889851192646,0.3113593295596885,10,False
saopaulo,DeepFM,43,BASE,1,6024,1055,0.17440772048837092,0.5592937580283476,9,False
saopaulo,DeepFM,43,BASE,2,3275,920,0.23799731147807784,0.40138755652881924,8,False
saopaulo,DeepFM,43,BASE,3,2745,810,0.20864918153610176,0.27736463048619403,8,False
saopaulo,DeepFM,43,SIT,0,11777,2456,0.18245961181608364,0.31632153755320574,10,False
saopaulo,DeepFM,43,SIT,1,6024,1055,0.16369238558327232,0.5589541126697648,9,False
saopaulo,DeepFM,43,SIT,2,3275,920,0.23972857781255374,0.40631718393340116,8,False
saopaulo,DeepFM,43,SIT,3,2745,810,0.21025190213694941,0.28006468403036605,8,False
saopaulo,DeepFM,43,Steck-b,0,11777,2456,0.3159449453788742,0.3549473796113804,10,False
saopaulo,DeepFM,43,Steck-b,1,6024,1055,0.21290865946948268,0.5561490040122338,9,False
saopaulo,DeepFM,43,Steck-b,2,3275,920,0.32378162541531824,0.45516074509812837,8,False
saopaulo,DeepFM,43,Steck-b,3,2745,810,0.2857054866387374,0.3147976104423515,8,False
saopaulo,AFM,43,BASE,0,11777,2456,0.19253596295358405,0.259048595250994,10,False
saopaulo,AFM,43,BASE,1,6024,1055,0.17333308858263308,0.5534724265114912,9,False
saopaulo,AFM,43,BASE,2,3275,920,0.23175382508102188,0.38653072626178414,8,False
saopaulo,AFM,43,BASE,3,2745,810,0.23542983904441273,0.26068867653419076,8,False
saopaulo,AFM,43,SIT,0,11777,2456,0.2223763158143866,0.3519086490081159,10,False
saopaulo,AFM,43,SIT,1,6024,1055,0.1415961867082178,0.536676537352587,9,False
saopaulo,AFM,43,SIT,2,3275,920,0.24319464113113054,0.4086072180444832,8,False
saopaulo,AFM,43,SIT,3,2745,810,0.2636609834535173,0.2792320423202353,8,False
saopaulo,AFM,43,Steck-b,0,11777,2456,0.34875618518111173,0.38899995853378905,10,False
saopaulo,AFM,43,Steck-b,1,6024,1055,0.2267288494297729,0.5632684687389918,9,False
saopaulo,AFM,43,Steck-b,2,3275,920,0.35289336560040174,0.47948261156490307,8,False
saopaulo,AFM,43,Steck-b,3,2745,810,0.33181541726112207,0.3284114306986881,8,False
saopaulo,FPMC,43,BASE,0,11777,2456,0.2499426268560927,0.38156705207958524,10,False
saopaulo,FPMC,43,BASE,1,6024,1055,0.2752677779414869,0.5155656820619551,9,False
saopaulo,FPMC,43,BASE,2,3275,920,0.30867731331295356,0.37892594703832383,8,False
saopaulo,FPMC,43,BASE,3,2745,810,0.3090475094852939,0.3468090939398255,8,False
saopaulo,FPMC,43,SIT,0,11777,2456,0.2407088680562059,0.3798926486626261,10,False
saopaulo,FPMC,43,SIT,1,6024,1055,0.2381689273416103,0.5509285156180355,9,False
saopaulo,FPMC,43,SIT,2,3275,920,0.30764327544922,0.39201734912610997,8,False
saopaulo,FPMC,43,SIT,3,2745,810,0.31894038936144253,0.3533907564108126,8,False
saopaulo,FPMC,43,Steck-b,0,11777,2456,0.3164253698474072,0.42779663795745904,10,False
saopaulo,FPMC,43,Steck-b,1,6024,1055,0.30195677889406164,0.563661784021907,9,False
saopaulo,FPMC,43,Steck-b,2,3275,920,0.3581553488068541,0.4345502683085931,8,False
saopaulo,FPMC,43,Steck-b,3,2745,810,0.3657723667893081,0.38126514468714895,8,False
saopaulo,SASRec,43,BASE,0,11777,2456,0.25511432013472135,0.38724670173102616,10,False
saopaulo,SASRec,43,BASE,1,6024,1055,0.29676720324935885,0.525829747519864,9,False
saopaulo,SASRec,43,BASE,2,3275,920,0.32533923312566193,0.3882127722205712,8,False
saopaulo,SASRec,43,BASE,3,2745,810,0.32249264166201175,0.3600478646078301,8,False
saopaulo,SASRec,43,SIT,0,11777,2456,0.2440397546322528,0.38076600191070825,10,False
saopaulo,SASRec,43,SIT,1,6024,1055,0.25714774069632274,0.5641946609996623,9,False
saopaulo,SASRec,43,SIT,2,3275,920,0.32533556734393354,0.40126557368637816,8,False
saopaulo,SASRec,43,SIT,3,2745,810,0.3304687964566606,0.364952564553852,8,False
saopaulo,SASRec,43,Steck-b,0,11777,2456,0.3086908162047891,0.4242823512790772,10,False
saopaulo,SASRec,43,Steck-b,1,6024,1055,0.31672945315916634,0.5637353167300135,9,False
saopaulo,SASRec,43,Steck-b,2,3275,920,0.3829163137038793,0.44870560878369353,8,False
saopaulo,SASRec,43,Steck-b,3,2745,810,0.36276138717579376,0.38285434563581716,8,False
saopaulo,B_blind,44,BASE,0,2723,785,0.21888002368836662,0.28598999512809625,8,False
saopaulo,B_blind,44,BASE,1,3563,983,0.22157978491924799,0.3604400830862339,8,False
saopaulo,B_blind,44,BASE,2,5810,1051,0.1843185873829755,0.49728059283512405,9,False
saopaulo,B_blind,44,BASE,3,11725,2451,0.182767751624328,0.3188405361448758,10,False
saopaulo,B_blind,44,SIT,0,2723,785,0.22589245046639383,0.29945888318588365,8,False
saopaulo,B_blind,44,SIT,1,3563,983,0.2246235813679172,0.37056052609753615,8,False
saopaulo,B_blind,44,SIT,2,5810,1051,0.1601862448933826,0.5535209072350851,9,False
