dataset,backbone,seed,method,situation,n_requests,n_users,macroCatMRR,microCatMRR,n_cats_supported,low_support
kuairand,FPMC,43,SIT,3,13906,7113,0.09877376259106407,0.3156331988905943,36,False
kuairand,FPMC,43,Steck-b,0,5856,1930,0.12892084725484987,0.30635079513750035,25,False
kuairand,FPMC,43,Steck-b,1,24951,10619,0.10469935470981709,0.2699760807956013,38,False
kuairand,FPMC,43,Steck-b,2,8055,2827,0.11812692009471049,0.2800378375025177,33,False
kuairand,FPMC,43,Steck-b,3,13906,7113,0.1033623733387996,0.3133010070808347,36,False
kuairand,SASRec,43,BASE,0,5856,1930,0.12784430322959733,0.3233555071423128,25,False
kuairand,SASRec,43,BASE,1,24951,10619,0.1164856352978018,0.2726899663969495,38,False
kuairand,SASRec,43,BASE,2,8055,2827,0.12551989334994806,0.28536311207554815,33,False
kuairand,SASRec,43,BASE,3,13906,7113,0.11010077747757223,0.32427691415379617,36,False
kuairand,SASRec,43,SIT,0,5856,1930,0.12343641368256025,0.3260078804744433,25,False
kuairand,SASRec,43,SIT,1,24951,10619,0.11611219839106496,0.2687911271835345,38,False
kuairand,SASRec,43,SIT,2,8055,2827,0.12530877231605703,0.28514539079409706,33,False
kuairand,SASRec,43,SIT,3,13906,7113,0.10575962568431807,0.32837307069454946,36,False
kuairand,SASRec,43,Steck-b,0,5856,1930,0.12758907144586518,0.3256152108287173,25,False
kuairand,SASRec,43,Steck-b,1,24951,10619,0.11715903216923709,0.27357763226114573,38,False
kuairand,SASRec,43,Steck-b,2,8055,2827,0.1255352111034731,0.2865178682941336,33,False
kuairand,SASRec,43,Steck-b,3,13906,7113,0.11060733507773378,0.32593039734264023,36,False
kuairand,B_blind,44,BASE,0,8005,2939,0.10001543907185118,0.27280831675407047,33,False
kuairand,B_blind,44,BASE,1,25132,10707,0.08527860754100858,0.2651720322005889,38,False
kuairand,B_blind,44,BASE,2,13764,7015,0.08765593959614257,0.29970907556421383,36,False
kuairand,B_blind,44,BASE,3,5867,2039,0.11320685209964818,0.2878624325830217,25,False
kuairand,B_blind,44,SIT,0,8005,2939,0.10094928545039195,0.2743991351143131,33,False
kuairand,B_blind,44,SIT,1,25132,10707,0.08643390558236456,0.2573251288833849,38,False
kuairand,B_blind,44,SIT,2,13764,7015,0.08029469705061017,0.3090240343595357,36,False
kuairand,B_blind,44,SIT,3,5867,2039,0.10946285837350375,0.3000568607248753,25,False
kuairand,B_blind,44,Steck-b,0,8005,2939,0.10359617243153177,0.2809636882943524,33,False
kuairand,B_blind,44,Steck-b,1,25132,10707,0.09231338386406825,0.2679361588372306,38,False
kuairand,B_blind,44,Steck-b,2,13764,7015,0.09415668827837886,0.3050453514447197,36,False
kuairand,B_blind,44,Steck-b,3,5867,2039,0.11486236603565939,0.30220420297224043,25,False
kuairand,B_full,44,BASE,0,8005,2939,0.09812286900749098,0.27054182289605005,33,False
kuairand,B_full,44,BASE,1,25132,10707,0.08539886511333233,0.26919098052565205,38,False
kuairand,B_full,44,BASE,2,13764,7015,0.0800924837261128,0.33038395770406653,36,False
kuairand,B_full,44,BASE,3,5867,2039,0.1095267338293829,0.2922045124751491,25,False
kuairand,B_full,44,SIT,0,8005,2939,0.09792318719425508,0.27039453222118176,33,False
kuairand,B_full,44,SIT,1,25132,10707,0.08532758315583377,0.2662412426414871,38,False
kuairand,B_full,44,SIT,2,13764,7015,0.07666862751531738,0.33346233144120885,36,False
kuairand,B_full,44,SIT,3,5867,2039,0.1084287101893752,0.2975858624002846,25,False
kuairand,B_full,44,Steck-b,0,8005,2939,0.10011618837071036,0.2750643589847416,33,False
kuairand,B_full,44,Steck-b,1,25132,10707,0.09056572157173594,0.27393559488039176,38,False
kuairand,B_full,44,Steck-b,2,13764,7015,0.08594183370526998,0.3373715377732031,36,False
kuairand,B_full,44,Steck-b,3,5867,2039,0.1094842965602151,0.3049069289363563,25,False
kuairand,EASE,44,BASE,0,8005,2939,0.08861306838446632,0.2637649138163353,33,False
kuairand,EASE,44,BASE,1,25132,10707,0.08042216223400507,0.2662951413287417,38,False
kuairand,EASE,44,BASE,2,13764,7015,0.08466663407501669,0.3015442851974111,36,False
kuairand,EASE,44,BASE,3,5867,2039,0.10644131341938215,0.2688990642615393,25,False
kuairand,EASE,44,SIT,0,8005,2939,0.09157773185578787,0.27097216610939645,33,False
kuairand,EASE,44,SIT,1,25132,10707,0.08171532822991687,0.23831827088445376,38,False
kuairand,EASE,44,SIT,2,13764,7015,0.059608633503071315,0.3109638368470637,36,False
kuairand,EASE,44,SIT,3,5867,2039,0.09051001720862592,0.29878704886371604,25,False
kuairand,EASE,44,Steck-b,0,8005,2939,0.09487769445601577,0.2559915881688071,33,False
kuairand,EASE,44,Steck-b,1,25132,10707,0.08826780723039294,0.23712939514082698,38,False
kuairand,EASE,44,Steck-b,2,13764,7015,0.08842141074447689,0.26634361724276084,36,False
kuairand,EASE,44,Steck-b,3,5867,2039,0.1065995323696094,0.27429413727792623,25,False
kuairand,DeepFM,44,BASE,0,8005,2939,0.09061483587730532,0.21909809031965172,33,False
kuairand,DeepFM,44,BASE,1,25132,10707,0.08001615253656917,0.22732531303247502,38,False
kuairand,DeepFM,44,BASE,2,13764,7015,0.07872497776763833,0.26097028532789124,36,False
kuairand,DeepFM,44,BASE,3,5867,2039,0.10975968255782381,0.22743449715347022,25,False
kuairand,DeepFM,44,SIT,0,8005,2939,0.09073451298153931,0.22025745909319064,33,False
kuairand,DeepFM,44,SIT,1,25132,10707,0.08110816363607905,0.21582536890551132,38,False
kuairand,DeepFM,44,SIT,2,13764,7015,0.06620463750252718,0.2982420354951689,36,False
kuairand,DeepFM,44,SIT,3,5867,2039,0.10194750608692052,0.2659965915745771,25,False
kuairand,DeepFM,44,Steck-b,0,8005,2939,0.09605521015887981,0.2334634571575275,33,False
kuairand,DeepFM,44,Steck-b,1,25132,10707,0.08959739382651861,0.23652457985922185,38,False
kuairand,DeepFM,44,Steck-b,2,13764,7015,0.08809751203985476,0.28158074861266963,36,False
kuairand,DeepFM,44,Steck-b,3,5867,2039,0.11361653529290493,0.2501809921834014,25,False
kuairand,AFM,44,BASE,0,8005,2939,0.07538353690787569,0.25458454577610945,33,False
kuairand,AFM,44,BASE,1,25132,10707,0.06476775206065459,0.2700871114079867,38,False
kuairand,AFM,44,BASE,2,13764,7015,0.06915217828212009,0.29070320042337666,36,False
kuairand,AFM,44,BASE,3,5867,2039,0.09834037402934218,0.23403335300235878,25,False
kuairand,AFM,44,SIT,0,8005,2939,0.07679990017729423,0.2598503314660302,33,False
kuairand,AFM,44,SIT,1,25132,10707,0.06669861397544703,0.25914682880107376,38,False
kuairand,AFM,44,SIT,2,13764,7015,0.05810100486702788,0.32401314257869485,36,False
kuairand,AFM,44,SIT,3,5867,2039,0.09615729602529273,0.27510562148964757,25,False
