dataset,n,seed,arm,kappa_reselected,val_CatMRR,macroCatMRR,CatMRR,HR20,NDCG20
ml1m,8,43,PRIOR,0.05,0.42568,0.20137423992076436,0.37329093682875736,0.12155474850564306,0.04907531166587149
ml1m,8,44,SIT,0.05,0.40484,0.16731705541012137,0.3562892124120573,0.1088900091564728,0.044502473331850236
ml1m,8,44,PRIOR,0.05,0.42566,0.2013783277917461,0.3732747781408186,0.12155474850564306,0.049076404475058746
ml1m,8,45,SIT,0.05,0.40481,0.16741177676435512,0.3562381348699542,0.1088900091564728,0.04449951446637766
ml1m,8,45,PRIOR,0.05,0.42569,0.20125615749872747,0.37333695025154634,0.12154446033395405,0.04906967878357473
ml1m,8,46,SIT,0.05,0.40485,0.16740686182953077,0.35622984846189104,0.1088900091564728,0.044499002964032267
ml1m,8,46,PRIOR,0.05,0.4257,0.2012566794132003,0.37333991568757124,0.12154446033395405,0.0490697040990617
ml1m,13,42,SIT,0.05,0.42923,0.1717694744195565,0.3677309668809142,0.11464109713062892,0.045711456123585
ml1m,13,42,PRIOR,0.05,0.45476,0.19474263444869808,0.3873646539164687,0.12428111400323048,0.049090973771820055
ml1m,13,43,SIT,0.05,0.42924,0.17176290824168394,0.3677188753100103,0.11464109713062892,0.04571164536927224
ml1m,13,43,PRIOR,0.05,0.45473,0.19473286610782295,0.3873456243301244,0.12425024948816346,0.04908464322777732
ml1m,13,44,SIT,0.05,0.42602,0.17145325941068157,0.3650399340697519,0.11370487350692908,0.04539673617171293
ml1m,13,44,PRIOR,0.05,0.45292,0.19458244231734811,0.38614061683120965,0.12409592691282832,0.049061661878403134
ml1m,13,45,SIT,0.05,0.42924,0.17176156736889192,0.36773172720512276,0.11464109713062892,0.04571081334762851
ml1m,13,45,PRIOR,0.05,0.45473,0.19474181648517666,0.3873641651365036,0.12428111400323048,0.04909095196579349
ml1m,13,46,SIT,0.05,0.4293,0.17188676759872826,0.3676242057143649,0.11467196164569594,0.045729003126975976
ml1m,13,46,PRIOR,0.05,0.45498,0.19473314230187463,0.38749801889906843,0.12428111400323048,0.04908999058884566
ml1m,21,42,SIT,0.05,0.45418,0.16984508990372918,0.3783081555108411,0.11440446918178171,0.04456444590776196
ml1m,21,42,PRIOR,0.05,0.4793,0.1835410597961319,0.39448564954669096,0.11948682599615222,0.045969928399448676
ml1m,21,43,SIT,0.05,0.45418,0.16985629383114864,0.3783379101712857,0.11441475735347072,0.04457240599986654
ml1m,21,43,PRIOR,0.05,0.47931,0.18354296481214682,0.39449855930887334,0.11948682599615222,0.04596972182089776
ml1m,21,44,SIT,0.05,0.45418,0.1698562450604497,0.3783377111317582,0.11441475735347072,0.04457240599986654
ml1m,21,44,PRIOR,0.05,0.47931,0.18354326792260645,0.39450024392178157,0.11948682599615222,0.04596972182089776
ml1m,21,45,SIT,0.05,0.45417,0.16985829419025233,0.3783433854343266,0.11440446918178171,0.04457031245545505
ml1m,21,45,PRIOR,0.05,0.47931,0.1835418107558403,0.3944818303905174,0.11949711416784123,0.0459708407316021
ml1m,21,46,SIT,0.05,0.45421,0.16983041695177603,0.37837455583782725,0.11444562186853774,0.04457588567749983
ml1m,21,46,PRIOR,0.05,0.47932,0.18354203629519072,0.39448758323752287,0.11950740233953024,0.045973193683065613
ml1m,all,42,SIT,0.05,0.43647,0.14984205352922586,0.4130517636160102,0.08744945935657775,0.03272319665115976
ml1m,all,42,PRIOR,0.05,0.4112,0.14239149094547274,0.3905195632033418,0.08327246165084003,0.031286907045994156
ml1m,all,43,SIT,0.05,0.43644,0.14986015173668826,0.41310067168123416,0.08744945935657775,0.03272319190696793
ml1m,all,43,PRIOR,0.05,0.4112,0.1423861919586598,0.3905115152503697,0.08325188530746201,0.0312828456025712
ml1m,all,44,SIT,0.05,0.43647,0.14984239605448663,0.4130489525771876,0.08744945935657775,0.03272340186542277
ml1m,all,44,PRIOR,0.05,0.4112,0.14239125740886913,0.3905194203120683,0.08327246165084003,0.031286907045994156
ml1m,all,45,SIT,0.05,0.43647,0.14984162439238716,0.41304825348794205,0.08744945935657775,0.03272304257099541
ml1m,all,45,PRIOR,0.05,0.4112,0.1423902428227669,0.3905187769534821,0.08327246165084003,0.031286907045994156
ml1m,all,46,SIT,0.05,0.43647,0.14984275978390615,0.4130505909887181,0.08744945935657775,0.03272353289034515
ml1m,all,46,PRIOR,0.05,0.4112,0.14239085775198754,0.39052000262086695,0.08327246165084003,0.031286907045994156
