dataset,n,seed,arm,kappa,K,eps,n_req,n_users,macroCatMRR,CatMRR,HR20,NDCG20
ml1m,3,44,PERM,0.1,3,0.05,97199,6040,0.10242056329345509,0.23272489637779945,0.056708402349818415,0.024879355869339936
ml1m,3,45,BASE,0.1,3,0.05,97199,6040,0.18643980897699228,0.4098886204490839,0.11318017675078962,0.046115824746111
ml1m,3,45,PRIOR,0.1,3,0.05,97199,6040,0.19392506870092296,0.33413741191530427,0.09308737744215476,0.03944770165322287
ml1m,3,45,SIT,0.1,3,0.05,97199,6040,0.14202997822560173,0.34717597587997967,0.08868403995925885,0.03750174445921247
ml1m,3,45,PERM,0.1,3,0.05,97199,6040,0.10233726092845206,0.23209072986098245,0.056564367946172284,0.024601917227410487
ml1m,3,46,BASE,0.1,3,0.05,97199,6040,0.18643980897699228,0.4098886204490839,0.11318017675078962,0.046115824746111
ml1m,3,46,PRIOR,0.1,3,0.05,97199,6040,0.1939259156877437,0.3341360424838029,0.09308737744215476,0.039447838201221906
ml1m,3,46,SIT,0.1,3,0.05,97199,6040,0.14201587924319614,0.3471920002420426,0.08867375178756984,0.03749936400043039
ml1m,3,46,PERM,0.1,3,0.05,97199,6040,0.10129284818329162,0.23083052808455892,0.05546353357544831,0.02432734047973998
ml1m,5,42,BASE,0.1,5,0.03,97199,6040,0.18905852856992725,0.41439437365329296,0.12318027963250651,0.04981723982596115
ml1m,5,42,PRIOR,0.1,5,0.03,97199,6040,0.18756601257961647,0.23875138610022895,0.0823465261988292,0.035819065952358675
ml1m,5,42,SIT,0.1,5,0.03,97199,6040,0.15842803623532262,0.32276804734632825,0.09182193232440664,0.038532836576611725
ml1m,5,42,PERM,0.1,5,0.03,97199,6040,0.09860184490773187,0.19465013271286188,0.05288120248150701,0.023162778627843345
ml1m,5,43,BASE,0.1,5,0.03,97199,6040,0.18905852856992725,0.41439437365329296,0.12318027963250651,0.04981723982596115
ml1m,5,43,PRIOR,0.1,5,0.03,97199,6040,0.18749834244418942,0.2387356335201763,0.08237739071389623,0.03582380681281219
ml1m,5,43,SIT,0.1,5,0.03,97199,6040,0.15779431312427325,0.32272809355458165,0.0917910678093396,0.03851648397112358
ml1m,5,43,PERM,0.1,5,0.03,97199,6040,0.10345987045217186,0.1941912462233556,0.05333388203582341,0.02315799066494199
ml1m,5,44,BASE,0.1,5,0.03,97199,6040,0.18905852856992725,0.41439437365329296,0.12318027963250651,0.04981723982596115
ml1m,5,44,PRIOR,0.1,5,0.03,97199,6040,0.18757952144217066,0.23876004924405606,0.08235681437051821,0.035821585017481186
ml1m,5,44,SIT,0.1,5,0.03,97199,6040,0.1584168445172739,0.3227786704992632,0.0917910678093396,0.03852696837850303
ml1m,5,44,PERM,0.1,5,0.03,97199,6040,0.10402809631251367,0.19373459223946127,0.05373512073169477,0.023397790406881936
ml1m,5,45,BASE,0.1,5,0.03,97199,6040,0.18905852856992725,0.41439437365329296,0.12318027963250651,0.04981723982596115
ml1m,5,45,PRIOR,0.1,5,0.03,97199,6040,0.1875583430480544,0.23874489996249212,0.0823362380271402,0.03581594642888663
ml1m,5,45,SIT,0.1,5,0.03,97199,6040,0.1584275262266891,0.322780994542433,0.09182193232440664,0.038532706289653725
ml1m,5,45,PERM,0.1,5,0.03,97199,6040,0.10080357159115658,0.19313197171284952,0.05315898311711026,0.023047786862713162
ml1m,5,46,BASE,0.1,5,0.03,97199,6040,0.18905852856992725,0.41439437365329296,0.12318027963250651,0.04981723982596115
ml1m,5,46,PRIOR,0.1,5,0.03,97199,6040,0.18755556423940345,0.23874507512350596,0.0823362380271402,0.03581592488697609
ml1m,5,46,SIT,0.1,5,0.03,97199,6040,0.1584163897082732,0.32279225991196586,0.0917910678093396,0.038526461506961485
ml1m,5,46,PERM,0.1,5,0.03,97199,6040,0.09433462607734949,0.19325112916214374,0.05235650572536755,0.022611884942974995
ml1m,8,42,BASE,0.1,5,0.02,97199,6040,0.18491669234473943,0.4189384820046731,0.12906511383861974,0.051497646911744625
ml1m,8,42,PRIOR,0.1,5,0.02,97199,6040,0.19631768842032607,0.28585320772981715,0.0998981471002788,0.04194250855691381
ml1m,8,42,SIT,0.1,5,0.02,97199,6040,0.1577032244413933,0.33261077616858153,0.0985298202656406,0.04070271204863095
ml1m,8,42,PERM,0.1,5,0.02,97199,6040,0.09883757017047379,0.20550948605487027,0.05823105175979177,0.02487728610578014
ml1m,8,43,BASE,0.1,5,0.02,97199,6040,0.18491669234473943,0.4189384820046731,0.12906511383861974,0.051497646911744625
